,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC
30,LIGER_INMF-louvain,Embedding,6924.0,0.816061673447666,0.8711313515446819,0.523751827344373,0.9463997602924028,0.9698401101446696,1.0,0.3273436528309508,0.5117499041594828,0.4873443249699338,0.7131180522750962,0.6742122105655619,0.9819826035256995,0.9846005784182972,0.5763609041450437,0.5297288218360762,0.8814557907227971,0.8797904605595381,0.5030876401188483,0.8687038761387279,0.9128799632254982,1.0,0.3922825772420815,0.4796373004892371,0.5776693557970578,0.6266868812282617,0.6561735958404845,0.9531456587652704,0.9548400638974016,0.42827069081999,0.4782819865015401,0.330203004995059,0.0012276140958983,0.0017331022530329,0.0007221259387637,0.3373772385904101,0.4191218948584633,0.255632582322357,0.5252744078567302,0.6045638359329867,0.4459849797804737
31,LIGER_OINMF-louvain,Embedding,6924.0,0.8368783819792271,0.8826014318843063,0.6408265360018882,0.9228010321043766,0.9363007899780448,1.0,0.3546131124893741,0.444539060227877,0.4454580554987311,0.6374431131253884,0.6268108395712659,0.9585628028539984,0.9526355494982064,0.5408498922325842,0.51345707573167,0.8741074229100116,0.903372906222432,0.5573323444702143,0.8383827727962934,0.8747102634706986,1.0,0.4256767437709249,0.4528120291538892,0.5594604842742386,0.5721539122105501,0.6078542753558047,0.9414776596049996,0.9175916038916564,0.4866383317021396,0.4829648097418715,0.2604703985100594,0.0007221259387637,0.0005777007510109,0.0008665511265164,0.3859763142692085,0.4013575967648758,0.3705950317735413,0.5734402079722704,0.6305603697284806,0.5163200462160601
32,LIGER_UINMF-louvain,Embedding,6924.0,0.8193328685981575,0.8777599050910551,0.5668086972290196,0.9423039484951858,0.9659389142370296,1.0,0.3454622997331471,0.4554569692023732,0.4317865371617883,0.679424620846836,0.642554470949641,0.9816857407040096,0.9843326125565424,0.493751646669978,0.4968813427283526,0.8091414581342555,0.8660433195690388,0.4399929540764163,0.877235453842394,0.9324233262542524,1.0,0.3724693216394708,0.4180358476406173,0.5102311053332059,0.5997598390664814,0.6376294898322068,0.9558909059069453,0.9623334690310944,0.4484678458318035,0.5748851113989188,0.4452832953038702,0.0005777007510109,0.0004332755632582,0.0007221259387637,0.1422588099364529,0.1634893125361063,0.1210283073367995,0.2861785095320623,0.2999711149624494,0.2723859041016753
33,MaxFuse-louvain,Embedding,6924.0,0.8760664899294625,0.92474335393317,0.5699640060398103,0.9572867572796034,0.9640836500168356,1.0,0.3845093685623459,0.6690197937345473,0.5934312392022408,0.7512753087890798,0.706110295775521,0.9722793088294348,0.9724381055246604,0.5471327383842156,0.5450635549794562,0.8082991957840016,0.8561851548765036,0.6376256317668412,0.9546554109565571,0.969637160543892,1.0,0.344999239517104,0.5565025397541079,0.5069317079702231,0.7039365657140872,0.6737783895698172,0.9782235416206052,0.9807982032390058,0.4966731498366224,0.6369090091762402,0.1437889889602754,0.0064269208549971,0.0075101097631426,0.0053437319468515,0.6860196418255344,0.7141825534373195,0.6578567302137492,0.8186741767764298,0.8424321201617562,0.7949162333911034
34,MultiMAP-louvain,Embedding,6924.0,0.6695646374896392,0.8076098457348262,0.2444258793440816,0.745234909850724,0.8348220633739152,1.0,0.3030313737950288,0.2739850936580202,0.2533281695927436,0.5956562365098048,0.5734048701939127,0.9685227777931767,0.977654031518179,0.4666737600323645,0.5155824090108627,0.6936614742198228,0.8678123983443262,0.1177365871877511,0.6884794374382756,0.7764253864699366,1.0,0.405248915059323,0.2357630833790511,0.2401688017790345,0.531209277679764,0.5308379477319607,0.9590069888620696,0.9676980126317992,0.4705488848886282,0.6042884345200266,0.1486439718044654,0.0025996533795493,0.0021663778162911,0.0030329289428076,0.5979924898902369,0.6191507798960139,0.5768341998844598,0.7720248411322934,0.8035817446562681,0.7404679376083189
35,pamona-louvain,Embedding,6924.0,0.6540308399910874,0.8624657948742092,0.161283920206121,0.3574647269921935,0.6370752066557185,1.0,0.407174125713523,0.095926841942669,0.0955899966529381,0.3105129554465646,0.3076372239359621,0.8794479885017927,0.8224499079379819,0.4994961542192053,0.4641325043346448,0.632022223232758,0.8595088383815352,0.0983777225227752,0.1201704844585639,0.2093918113773683,1.0,0.5144391280953938,0.0139813630821724,0.0130320246346699,0.056428464462408,0.0473921623258212,0.7305075004938973,0.5208692049293753,0.4896637295501376,0.485571577800443,0.5096601865562929,0.0,0.0,0.0,0.0691796649335644,0.0557481224725592,0.0826112073945696,0.1051415366839976,0.0879549393414211,0.1223281340265742
36,SCALEX-louvain,Embedding,6924.0,0.8734137445137301,0.900982076899497,0.6161034271703094,0.9333700537673082,0.9357424071157112,1.0,0.3141104289401259,0.579652838768773,0.5579813312437036,0.6930777746122692,0.669708981055398,0.9712622507046228,0.9685363539318136,0.5805842740337611,0.5099823085095992,0.8893449709605955,0.9429674196819536,0.5357498853234721,0.8837222734120186,0.9458303030887004,1.0,0.4239004707038564,0.4737154598604076,0.5294908865880561,0.5961563280987325,0.6143744393222585,0.951023454119605,0.9446851405940976,0.5120452600996832,0.5265598175837911,0.1355417141826368,0.0030329289428076,0.0034662045060658,0.0025996533795493,0.5761120739456961,0.6155401502021952,0.536683997689197,0.7564269208549972,0.7780184864240324,0.7348353552859619
37,SeuratV3_CCA-louvain,Embedding,6924.0,0.910936538882018,0.8864178689492513,0.826044708660077,0.952005726846015,0.963637486354544,1.0,0.1748842335227494,0.4059898783448238,0.3786279669448231,0.6530552314243946,0.6144595582524791,0.97200731423391,0.9727892561251242,0.6092809600678762,0.5419183893890254,0.7509053645865803,0.8510257217702273,0.2635461438699822,0.8648762862031173,0.9017002928139144,1.0,0.3377807019042912,0.3886407480794018,0.3381045450509254,0.6640683292026733,0.6287694719741221,0.9797640766183716,0.9854772845297604,0.3342692843902644,0.5292189118097576,0.0817725234042226,0.0041883304448295,0.0046216060080878,0.0037550548815713,0.6852975158867707,0.6494800693240901,0.7211149624494512,0.8250288850375505,0.7824956672443674,0.8675621028307337
38,SeuratV4_RPCA-louvain,Embedding,6924.0,0.9177060322448704,0.8845444899661382,0.7692122713250398,0.9603721453916904,0.9840222768806952,1.0,0.183043454054823,0.4855757248684857,0.4367251301114368,0.6664380178907097,0.6257600132548325,0.9686085276506174,0.9765713262087216,0.5938097854545213,0.5308506376902843,0.7592506044833844,0.8605703926637062,0.2754557768783905,0.8171666394374069,0.8957788068814629,1.0,0.3205935199903165,0.3085150138000709,0.2859591964789036,0.5931120972614046,0.5732302066518259,0.9720534116611208,0.980789216044344,0.4284279459203139,0.4649459713607441,0.1089543908427589,0.0054159445407279,0.0070768341998844,0.0037550548815713,0.6314269208549972,0.6441363373772386,0.6187175043327556,0.7903668399768919,0.7690641247833622,0.8116695551704217
39,SIMBA-louvain,Embedding,6924.0,0.9341578460907802,0.9196652421401637,0.7086872930869725,0.9681540009384848,0.9635532573508412,1.0,0.2549898084657552,0.6317287293518222,0.5489057429554964,0.7417041770838027,0.6869575478596393,0.9798592229200048,0.9814434697055348,0.5715937772004265,0.5115287969630107,0.895439632140567,0.9455899041053848,0.6471503121227834,0.9313330162692526,0.960127394597144,1.0,0.3631460115030933,0.5170686797783756,0.5828095138324795,0.6602629548138619,0.674918886898614,0.9639126576421924,0.9696664325689128,0.5248465598514287,0.5655575703283293,0.1076972617785373,0.0035384170999422,0.0025996533795493,0.004477180820335,0.5830444829578278,0.5612362796071635,0.6048526863084922,0.7518775274407856,0.752310803004044,0.7514442518775274
40,unionCom-louvain,Embedding,6924.0,0.767359445564582,0.836591281278999,0.3777246193965667,0.8928982078258438,0.926552768318784,1.0,0.3043460730361031,0.3953483096322556,0.3376549919111719,0.6766760580538614,0.6315118761859112,0.9822067079906096,0.9892769050229652,0.3664243569867795,0.5106669423983111,0.8013672559748131,0.8513388857514075,0.3909959167742771,0.8716184565687637,0.9551879856827804,1.0,0.3226109791381688,0.4144100772806511,0.4142629648074798,0.6347741170105384,0.63887951409502,0.9646366428651012,0.9779830717357478,0.276024237866458,0.569566501706531,0.0449155450561531,0.005054881571346,0.005632582322357,0.004477180820335,0.6563402657423454,0.6796649335644136,0.6330155979202773,0.812680531484691,0.8212016175621029,0.804159445407279
