"","method","Output","nCell","Batch_ASW_batch.RNA","Batch_ASW_site.RNA","graph_connectivity_batch.RNA","graph_connectivity_label.RNA","graph_connectivity_label.l1.RNA","graph_connectivity_cluster.RNA","graph_iLISI.RNA","ARI.RNA","ARI.l1.RNA","AMI.RNA","AMI.l1.RNA","graph_cLISI.RNA","graph_cLISI.l1.RNA","isolated_labels_ASW.RNA","isolated_labels_ASW.l1.RNA","Batch_ASW_batch.ATAC","Batch_ASW_site.ATAC","graph_connectivity_batch.ATAC","graph_connectivity_label.ATAC","graph_connectivity_label.l1.ATAC","graph_connectivity_cluster.ATAC","graph_iLISI.ATAC","ARI.ATAC","ARI.l1.ATAC","AMI.ATAC","AMI.l1.ATAC","graph_cLISI.ATAC","graph_cLISI.l1.ATAC","isolated_labels_ASW.ATAC","isolated_labels_ASW.l1.ATAC","FOSCTTM","nearest_cell_barcode","nearest_cell_barcode.RNA","nearest_cell_barcode.ATAC","nearest_cell_celltype","nearest_cell_celltype.RNA","nearest_cell_celltype.ATAC","nearest_cell_celltype.l1","nearest_cell_celltype.l1.RNA","nearest_cell_celltype.l1.ATAC"
"11","unionCom","Embedding",6781,NA,NA,1,0.970723533254721,0.965538188725135,1,NA,0.609640991366916,0.446080613882436,0.805753279871435,0.704589476582368,0.996548010212948,0.999445482355515,0.698666092620899,0.705181077587244,NA,NA,1,0.535200076834593,0.7799358462982,1,NA,0.111142034616903,0.103327436595289,0.228099929004399,0.20970261895451,0.829405412996053,0.739913495849893,0.359523309118262,0.412639532845265,0.492383437061329,0.000147470874502286,0,0.000294941749004572,0.0729243474413803,0.115764636484294,0.0300840583984663,0.125276507889692,0.181979059135821,0.0685739566435629
"12","uniPort","Embedding",6781,NA,NA,1,0.923070123712967,0.964238415948821,1,NA,0.62209082394583,0.553248940029301,0.683335727050621,0.656493031240927,0.967318801113046,0.977563968893686,0.536809479093268,0.561476920853846,NA,NA,1,0.986167501340772,0.984921290272421,1,NA,0.657965673021562,0.52739128339641,0.832407255029736,0.745984240440558,0.992815266300813,0.998273525161472,0.605404845694597,0.591773253412121,0.085599056986717,0.00494027429582657,0.00501400973307772,0.00486653885857543,0.745686476920808,0.716560979206607,0.77481197463501,0.859681462911075,0.841616280784545,0.877746645037605
"13","bindSC","Embedding",6781,NA,NA,1,0.892924877796175,0.939917697730142,1,NA,0.408752770908302,0.440757505752999,0.65134004374083,0.649741243470379,0.958034510853125,0.96388979556717,0.518890423918801,0.590925529573001,NA,NA,1,0.864775698639937,0.905135188242278,1,NA,0.367188219226711,0.349271228568828,0.647174056759954,0.630432282887483,0.969242753557447,0.987765225167842,0.516073579548871,0.598437126686911,0.120366104003263,0.00272821117829229,0.003096888364548,0.00235953399203657,0.535761687066804,0.52514378410264,0.546379590030969,0.732119156466598,0.71744580445362,0.746792508479575
"14","scglue","Embedding",6781,NA,NA,1,0.990884362610638,0.989818536010638,1,NA,0.674934824347495,0.539470397001616,0.847672501206325,0.75998915909598,0.995182682523289,0.999392795786107,0.632335700823971,0.603648150737148,NA,NA,1,0.976566938674624,0.971458963392105,1,NA,0.607807972384964,0.504545659175468,0.791615420587642,0.721157511780384,0.989646548592799,0.997303738988328,0.609833797760486,0.595561598045051,0.0317814414222134,0.01290370151895,0.013419849579708,0.012387553458192,0.833136705500664,0.840731455537531,0.825541955463796,0.896622916973898,0.905913582067542,0.887332251880254
"15","LIGER_INMF","Embedding",6781,NA,NA,1,0.984796681415595,0.985041437921212,1,NA,0.589011099045324,0.483912848532872,0.813419771353641,0.73710374146208,0.994548959184904,0.999614827038242,0.619509277290658,0.615111935368358,NA,NA,1,0.939342596298165,0.967262778775336,1,NA,0.61499845507284,0.675641247501387,0.690742314989385,0.70317716189732,0.956743467558361,0.967815141446477,0.511325220860223,0.570738554050836,0.249800840377382,0.000884825247013715,0.000884825247013715,0.000884825247013715,0.283660227105147,0.459666715823625,0.107653738386669,0.529641645774959,0.754018581330187,0.305264710219732
"16","LIGER_OINMF","Embedding",6781,NA,NA,1,0.961927151861344,0.984409315321157,1,NA,0.549270487192415,0.495326228189045,0.779538081675378,0.732993469101302,0.989459438602372,0.997694034367584,0.585728556129445,0.546823204526327,NA,NA,1,0.890188591772108,0.954822286922709,1,NA,0.423994100734904,0.474311145799719,0.618815367732302,0.63629190195104,0.946523041072986,0.937943156026156,0.500270153232911,0.542370244858185,0.256310066897756,0.000589883498009143,0.000589883498009143,0.000589883498009143,0.377820380474856,0.355257336676007,0.400383424273706,0.563928624096741,0.552868308509069,0.574988939684412
"17","LIGER_UINMF","Embedding",6781,NA,NA,1,0.983239470052776,0.983483732225726,1,NA,0.625882993276144,0.470297466148101,0.830997905480229,0.728486088885401,0.995177791836312,0.999544273057801,0.615670289987951,0.58340647756471,NA,NA,1,0.933202452168529,0.969117184589316,1,NA,0.417607447288665,0.489154880284805,0.659686321952795,0.682755125016898,0.954681517898887,0.97234420911263,0.509153164237554,0.577981550349073,0.435603105313408,0.000589883498009143,0.000737354372511429,0.000442412623506857,0.177554932900752,0.306591948090252,0.048517917711252,0.336528535614216,0.447574104114437,0.225482967113995
"18","MaxFuse","Embedding",6781,NA,NA,1,0.988759764619961,0.989825717604444,1,NA,0.63483655358456,0.529132515288593,0.814640235772416,0.7401092870635,0.989021948389077,0.996564661546296,0.558081591036933,0.530193131553751,NA,NA,1,0.985072186253105,0.980899745519861,1,NA,0.535790743078263,0.456183617319388,0.770974236894821,0.707310309962802,0.985360694310716,0.991080404541092,0.53245462435054,0.51515817288057,0.0966065148896108,0.00648871847810058,0.00604630585459372,0.00693113110160743,0.800840583984663,0.834095266184928,0.767585901784398,0.870078159563486,0.903701518950007,0.836454800176965
"19","pamona","Embedding",6781,NA,NA,1,0.509646967211364,0.698622821482409,1,NA,0.121017267750616,0.0969600227436348,0.33804626650825,0.296122389866628,0.888157963716006,0.820594183924955,0.42021606482262,0.453348089612497,NA,NA,1,0.112323219961133,0.189381479196379,1,NA,0.00885575837065953,0.0104822626968397,0.058817279279681,0.0513714242173675,0.696686356281258,0.538960278942497,0.421227007178387,0.446366643878808,0.511205361598215,0,0,0,0.097035835422504,0.102639728653591,0.0914319421914172,0.151821265300103,0.157498893968441,0.146143636631765
"20","SCALEX","Embedding",6781,NA,NA,1,0.98686296877301,0.991625086082172,1,NA,0.655906617084482,0.569023717480079,0.818343573107851,0.762812321478763,0.98835075617414,0.996195221693799,0.602280828815732,0.620898542185432,NA,NA,1,0.929815667868759,0.968461664116826,1,NA,0.494611120258645,0.580144488301903,0.605813746395987,0.639332128417235,0.94596980659734,0.939352284529609,0.510545087207868,0.552403728687511,0.123582082547545,0.003613036425306,0.003096888364548,0.004129184486064,0.606842648576906,0.69547264415278,0.518212653001032,0.768470727031411,0.829228727326353,0.70771272673647
