,method,Output,nCell,Batch_ASW_batch-RNA,graph_connectivity_batch-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,Batch_ASW_batch-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC
20,pamona-louvain,Embedding,15021.0,0.8695234630748979,0.7902957793286807,1.0,0.4503810275589297,0.7645152476158737,0.5106344303752081,1.0,0.4563823068369603,0.4983140018770782,3.328673190866121e-05,0.0,6.657346381732241e-05
21,SCALEX-louvain,Embedding,15021.0,0.9453945469238278,0.9798936523762048,1.0,0.423629157929748,0.9478846377705976,0.9742439348620804,1.0,0.4435479514311282,0.1745389355508107,0.0022634977697889,0.0031955262632314,0.0013314692763464
22,SeuratV3_CCA-louvain,Embedding,15021.0,0.9686528389433052,0.7987703555998671,1.0,0.3983074864734348,0.7724025047055421,0.9325251020166274,1.0,0.0259925200987842,0.0962114238831807,0.0045602822714865,0.0063244790626456,0.0027960854803275
23,SeuratV4_RPCA-louvain,Embedding,15021.0,0.9680013426451451,0.799933532735128,1.0,0.3849958152297192,0.7921211430450511,0.9511465603190428,1.0,0.0252630234996067,0.106344221079637,0.0047600026629385,0.0074562279475401,0.0020637773783369
24,SIMBA-louvain,Embedding,15021.0,0.9752369052236786,0.7550681289464938,1.0,0.4293115742035898,0.8379946197013115,0.99983383183782,1.0,0.0037178755145959,0.1027259947606094,0.0029625191398708,0.0031955262632314,0.0027295120165102
25,uniPort-louvain,Embedding,15021.0,0.9525382153212208,0.9759056164838816,1.0,0.4231802769735102,0.954337376033227,0.9307078763708874,1.0,0.4188790138960292,0.1120493267129677,0.0063244790626456,0.0053258771053857,0.0073230810199054
26,bindSC-louvain,Embedding,15021.0,0.9623587675993772,0.963276836158192,1.0,0.4381124634942612,0.9116290013892088,0.8589232303090728,1.0,0.4283863797728668,0.1605298351564184,0.0013647560082551,0.001464616203981,0.0012648958125291
27,GLUE-louvain,Embedding,15021.0,0.9575830727740426,0.7529079428381522,1.0,0.408176265199464,0.7568209430909929,0.998670654702559,1.0,0.0209831204291615,0.0614613344659464,0.0162439251714266,0.0175088209839557,0.0149790293588975
28,LIGER_INMF-louvain,Embedding,15021.0,0.8875910234428864,0.9704220671319376,1.0,0.4098044390377742,0.9056319091211412,0.9348620804253904,1.0,0.3981103102419319,0.1693656109992711,0.0003661540509952,0.0001997203914519,0.0005325877105385
29,LIGER_OINMF-louvain,Embedding,15021.0,0.9247443981210556,0.9162512462612163,1.0,0.4165956891424927,0.948382913521314,0.9853772017281488,1.0,0.4329307019881305,0.1665852946677527,0.0009320284934425,0.0007323081019905,0.0011317488848944
30,LIGER_UINMF-louvain,Embedding,15021.0,0.8964416394280761,0.97357926221336,1.0,0.3929913260942479,0.8821680876155428,0.9848786972416084,1.0,0.3968284220573432,0.2908629979586841,0.0002995805871779,0.0001331469276346,0.0004660142467212
31,MaxFuse-louvain,Embedding,15021.0,0.9416561774118526,0.984214024592888,1.0,0.4683421934240361,0.8599523151103988,0.9961781322698572,1.0,0.2297056149815644,0.0865666149187733,0.0152786099460754,0.0154450436056188,0.0151121762865321
32,MultiMAP-louvain,Embedding,15021.0,0.8955884011700098,0.6003655699567962,1.0,0.4198479018230694,0.8591276647683427,0.6169397651202237,1.0,0.3013039248634082,0.1966189859106821,0.0008654550296251,0.0007988815658078,0.0009320284934425
33,pamona-louvain,Embedding,15021.0,0.8695234630748979,0.7902957793286807,1.0,0.4503810275589297,0.7645152476158737,0.5106344303752081,1.0,0.4563823068369603,0.4983140018770782,3.328673190866121e-05,0.0,6.657346381732241e-05
34,SCALEX-louvain,Embedding,15021.0,0.9453945469238278,0.9798936523762048,1.0,0.423629157929748,0.9478846377705976,0.9742439348620804,1.0,0.4435479514311282,0.1745389355508107,0.0022634977697889,0.0031955262632314,0.0013314692763464
35,SeuratV3_CCA-louvain,Embedding,15021.0,0.9686528389433052,0.7987703555998671,1.0,0.3983074864734348,0.7724025047055421,0.9325251020166274,1.0,0.0259925200987842,0.0962114238831807,0.0045602822714865,0.0063244790626456,0.0027960854803275
36,SeuratV4_RPCA-louvain,Embedding,15021.0,0.9680013426451451,0.799933532735128,1.0,0.3849958152297192,0.7921211430450511,0.9511465603190428,1.0,0.0252630234996067,0.106344221079637,0.0047600026629385,0.0074562279475401,0.0020637773783369
37,SIMBA-louvain,Embedding,15021.0,0.9759581941577014,0.9240611498836824,1.0,0.4148459918033627,0.8336114327970838,0.9996676636756398,1.0,0.0087798785586556,0.099844767843183,0.003528393582318,0.0033952466546834,0.0036615405099527
38,uniPort-louvain,Embedding,15021.0,0.9525382153212208,0.9759056164838816,1.0,0.4231802769735102,0.954337376033227,0.9307078763708874,1.0,0.4188790138960292,0.1120493267129677,0.0063244790626456,0.0053258771053857,0.0073230810199054
39,bindSC-louvain,Embedding,15021.0,0.9623587675993772,0.963276836158192,1.0,0.4381124634942612,0.9116290013892088,0.8589232303090728,1.0,0.4283863797728668,0.1605298351564184,0.0013647560082551,0.001464616203981,0.0012648958125291
40,GLUE-louvain,Embedding,15021.0,0.9613294960407736,0.7505815885676305,1.0,0.4077570546091418,0.7895201021807238,0.9955134596211366,1.0,0.0318332151478881,0.0612546092572677,0.0146461620398109,0.0165767924905132,0.0127155315891085
41,LIGER_INMF-louvain,Embedding,15021.0,0.8875910234428864,0.9704220671319376,1.0,0.4098044390377742,0.9056319091211412,0.9348620804253904,1.0,0.3981103102419319,0.1693656109992711,0.0003661540509952,0.0001997203914519,0.0005325877105385
42,LIGER_OINMF-louvain,Embedding,15021.0,0.9247443981210556,0.9162512462612163,1.0,0.4165956891424927,0.948382913521314,0.9853772017281488,1.0,0.4329307019881305,0.1665852946677527,0.0009320284934425,0.0007323081019905,0.0011317488848944
43,LIGER_UINMF-louvain,Embedding,15021.0,0.8964416394280761,0.97357926221336,1.0,0.3929913260942479,0.8821680876155428,0.9848786972416084,1.0,0.3968284220573432,0.2908629979586841,0.0002995805871779,0.0001331469276346,0.0004660142467212
44,MaxFuse-louvain,Embedding,15021.0,0.9460292370849746,0.9818876703223662,1.0,0.446936202649298,0.8543109151059953,0.9931871053506148,1.0,0.3577195000842461,0.0847096779817932,0.0144464416483589,0.0145130151121762,0.0143798681845416
45,MultiMAP-louvain,Embedding,15021.0,0.8955884011700098,0.6003655699567962,1.0,0.4198479018230694,0.8591276647683427,0.6169397651202237,1.0,0.3013039248634082,0.1966189859106821,0.0008654550296251,0.0007988815658078,0.0009320284934425
46,pamona-louvain,Embedding,15021.0,0.8695234630748979,0.7902957793286807,1.0,0.4503810275589297,0.7645152476158737,0.5106344303752081,1.0,0.4563823068369603,0.4983140018770782,3.328673190866121e-05,0.0,6.657346381732241e-05
47,SCALEX-louvain,Embedding,15021.0,0.9453945469238278,0.9798936523762048,1.0,0.423629157929748,0.9478846377705976,0.9742439348620804,1.0,0.4435479514311282,0.1745389355508107,0.0022634977697889,0.0031955262632314,0.0013314692763464
48,SeuratV3_CCA-louvain,Embedding,15021.0,0.9686528389433052,0.7987703555998671,1.0,0.3983074864734348,0.7724025047055421,0.9325251020166274,1.0,0.0259925200987842,0.0962114238831807,0.0045602822714865,0.0063244790626456,0.0027960854803275
49,SeuratV4_RPCA-louvain,Embedding,15021.0,0.9680013426451451,0.799933532735128,1.0,0.3849958152297192,0.7921211430450511,0.9511465603190428,1.0,0.0252630234996067,0.106344221079637,0.0047600026629385,0.0074562279475401,0.0020637773783369
50,SIMBA-louvain,Embedding,15021.0,0.975431237429097,0.7535726154868727,1.0,0.4040139105355544,0.8313758443694903,1.0,1.0,0.007495210847469,0.1031746886493919,0.0032288129951401,0.0029292324079621,0.003528393582318
51,uniPort-louvain,Embedding,15021.0,0.9525382153212208,0.9759056164838816,1.0,0.4231802769735102,0.954337376033227,0.9307078763708874,1.0,0.4188790138960292,0.1120493267129677,0.0063244790626456,0.0053258771053857,0.0073230810199054
52,bindSC-louvain,Embedding,15021.0,0.9623587675993772,0.963276836158192,1.0,0.4381124634942612,0.9116290013892088,0.8589232303090728,1.0,0.4283863797728668,0.1605298351564184,0.0013647560082551,0.001464616203981,0.0012648958125291
53,GLUE-louvain,Embedding,15021.0,0.9619355572642522,0.7502492522432702,1.0,0.4132952711193267,0.7782221149571161,0.99983383183782,1.0,0.0335777177510898,0.0597913448212424,0.0155781905332534,0.0163104986352439,0.0148458824312628
54,LIGER_INMF-louvain,Embedding,15021.0,0.8875910234428864,0.9704220671319376,1.0,0.4098044390377742,0.9056319091211412,0.9348620804253904,1.0,0.3981103102419319,0.1693656109992711,0.0003661540509952,0.0001997203914519,0.0005325877105385
55,LIGER_OINMF-louvain,Embedding,15021.0,0.9247443981210556,0.9162512462612163,1.0,0.4165956891424927,0.948382913521314,0.9853772017281488,1.0,0.4329307019881305,0.1665852946677527,0.0009320284934425,0.0007323081019905,0.0011317488848944
56,LIGER_UINMF-louvain,Embedding,15021.0,0.8964416394280761,0.97357926221336,1.0,0.3929913260942479,0.8821680876155428,0.9848786972416084,1.0,0.3968284220573432,0.2908629979586841,0.0002995805871779,0.0001331469276346,0.0004660142467212
57,MaxFuse-louvain,Embedding,15021.0,0.943941549360576,0.9729145895646394,1.0,0.4534983823620673,0.8614694081569454,0.994807161930791,1.0,0.3798105856821334,0.0887074031823569,0.0161440649757006,0.0172425271286865,0.0150456028227148
58,MultiMAP-louvain,Embedding,15021.0,0.8955884011700098,0.6003655699567962,1.0,0.4198479018230694,0.8591276647683427,0.6169397651202237,1.0,0.3013039248634082,0.1966189859106821,0.0008654550296251,0.0007988815658078,0.0009320284934425
59,pamona-louvain,Embedding,15021.0,0.8695234630748979,0.7902957793286807,1.0,0.4503810275589297,0.7645152476158737,0.5106344303752081,1.0,0.4563823068369603,0.4983140018770782,3.328673190866121e-05,0.0,6.657346381732241e-05
60,SCALEX-louvain,Embedding,15021.0,0.9453945469238278,0.9798936523762048,1.0,0.423629157929748,0.9478846377705976,0.9742439348620804,1.0,0.4435479514311282,0.1745389355508107,0.0022634977697889,0.0031955262632314,0.0013314692763464
61,SeuratV3_CCA-louvain,Embedding,15021.0,0.9686528389433052,0.7987703555998671,1.0,0.3983074864734348,0.7724025047055421,0.9325251020166274,1.0,0.0259925200987842,0.0962114238831807,0.0045602822714865,0.0063244790626456,0.0027960854803275
62,SeuratV4_RPCA-louvain,Embedding,15021.0,0.9680013426451451,0.799933532735128,1.0,0.3849958152297192,0.7921211430450511,0.9511465603190428,1.0,0.0252630234996067,0.106344221079637,0.0047600026629385,0.0074562279475401,0.0020637773783369
63,SIMBA-louvain,Embedding,15021.0,0.9762561201870984,0.9267198404785644,1.0,0.4120320661390155,0.8332343124331613,0.99983383183782,1.0,0.0089382335033654,0.1007730579226231,0.0033619599227747,0.0033952466546834,0.0033286731908661
64,uniPort-louvain,Embedding,15021.0,0.9525382153212208,0.9759056164838816,1.0,0.4231802769735102,0.954337376033227,0.9307078763708874,1.0,0.4188790138960292,0.1120493267129677,0.0063244790626456,0.0053258771053857,0.0073230810199054
