,method,Batch_ASW_batch-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,AMI-RNA,graph_cLISI-RNA,isolated_labels_ASW-RNA,Batch_ASW_batch-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,AMI-ATAC,graph_cLISI-ATAC,isolated_labels_ASW-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,Output,nCell
16,SCALEX-louvain,,,,,,-5.0303918997326144e-05,-0.0002127339602627,0.4856185371660501,0.5007551487435998,,,,,,-0.0002058258620391,-0.0002240269430047,0.482738454377859,0.4952798470135576,0.3541369642060183,0.0002833663927458,0.0002833663927458,0.0002833663927458,0.2148861811655804,0.2159251912723151,0.2138471710588457,Embedding,10587.0
17,SeuratV3_CCA,0.9697809881906212,0.9967572715700852,0.619401976553453,1.0,0.8983865039840588,-0.0001479962194038,-0.0009488691075743,0.5103642463309916,0.4869145725358437,0.9749254057624192,0.9986890690595284,0.6684571963322365,1.0,0.8953358685152271,-0.0004183430050993,-0.0005042139516247,0.5108981117740053,0.4913004919799864,0.3314636728722952,0.0015222568398906,0.0015257190175234,0.0015187946622578,0.2200894650748457,0.2358923956282768,0.2042865345214146,Embedding,10587.0
18,SeuratV4_RPCA,0.9708967402989298,0.9956701738869894,0.6252711019711791,1.0,0.8966704943027154,-0.0003502706075656,-0.0005967751187334,0.502839067661296,0.4869606562630909,0.9696784425394444,0.9926057746328438,0.6193968484862937,1.0,0.8944052249198929,-0.0007703917298038,-0.0008399281446582,0.5048101747233481,0.4906188725288964,0.3113406511300876,0.002622264927655,0.0041358934884462,0.0011086363668639,0.2146257070981214,0.2333200839630019,0.1959313302332408,Embedding,10587.0
19,SIMBA-louvain,,,,,,0.000206084459452,-7.1868326310964125e-06,0.4839871359661276,0.4963696534643904,,,,,,0.0004535767833883,-0.00028544124802,0.4893816534940658,0.4843168517667822,0.1786427710669075,0.0014168319637291,0.0010390101067346,0.0017946538207235,0.2137527155945971,0.2100689524889014,0.2174364787002928,Embedding,10587.0
20,uniPort,0.9761619482468472,0.9987921989535824,0.6785950412068642,1.0,0.8877775905588021,-0.0007322185796323,0.0006022714928239,0.5226653864696592,0.4893628856210751,0.9687022491501748,0.9981928732456046,0.6658733589619239,1.0,0.8919744961493482,-0.0006457731746674,-0.0002249084233941,0.5022611860060435,0.4939615478729711,0.3028923567310045,0.0027881008323196,0.0023407288101527,0.0032354728544864,0.2305332991403265,0.225650428750423,0.2354161695302299,Embedding,10587.0
21,GLUE,0.9776712659550756,0.9990289979198552,0.6657061609753397,1.0,0.8887540958091388,0.0004508958377175,-0.0001427287607379,0.5126365032245442,0.4914480980307786,0.9687852055950912,0.9979569109918568,0.6713473587127633,1.0,0.8929915485427136,0.0005171344125883,-0.0006237058991307,0.5074310513507345,0.4821489715351594,0.1286551425296366,0.0092796920535738,0.0101401551670224,0.0084192289401252,0.237280896587517,0.2385752643872355,0.2359865287877987,Embedding,10587.0
22,pamona,0.8857828688567653,0.7864218131710622,0.2521581590344845,1.0,0.9155137740595723,-0.000715633325486,-0.0005705417617478,0.4961351007823896,0.4830916161160471,0.788992131627317,0.232575167147611,0.0777665888876386,1.0,0.9247958592026682,-8.770021972240805e-05,-3.83335070194885e-05,0.4887110125985061,0.479367898216005,0.5055479961942044,0.0004956654188414,0.0004183847462638,0.0005729460914189,0.2359624901365355,0.237944470586863,0.2339805096862079,Embedding,10587.0
23,SeuratV3_CCA,0.9697809881906212,0.9967572715700852,0.619401976553453,1.0,0.8983865039840588,-0.0001479962194038,-0.0009488691075743,0.5103642463309916,0.4869145725358437,0.9749254057624192,0.9986890690595284,0.6684571963322365,1.0,0.8953358685152271,-0.0004183430050993,-0.0005042139516247,0.5108981117740053,0.4913004919799864,0.3314636728722952,0.0015222568398906,0.0015257190175234,0.0015187946622578,0.2200894650748457,0.2358923956282768,0.2042865345214146,Embedding,10587.0
24,SeuratV4_RPCA,0.9708967402989298,0.9956701738869894,0.6252711019711791,1.0,0.8966704943027154,-0.0003502706075656,-0.0005967751187334,0.502839067661296,0.4869606562630909,0.9696784425394444,0.9926057746328438,0.6193968484862937,1.0,0.8944052249198929,-0.0007703917298038,-0.0008399281446582,0.5048101747233481,0.4906188725288964,0.3113406511300876,0.002622264927655,0.0041358934884462,0.0011086363668639,0.2146257070981214,0.2333200839630019,0.1959313302332408,Embedding,10587.0
25,uniPort,0.9761619482468472,0.9987921989535824,0.6785950412068642,1.0,0.8877775905588021,-0.0007322185796323,0.0006022714928239,0.5226653864696592,0.4893628856210751,0.9687022491501748,0.9981928732456046,0.6658733589619239,1.0,0.8919744961493482,-0.0006457731746674,-0.0002249084233941,0.5022611860060435,0.4939615478729711,0.3028923567310045,0.0027881008323196,0.0023407288101527,0.0032354728544864,0.2305332991403265,0.225650428750423,0.2354161695302299,Embedding,10587.0
26,GLUE,0.9790044126412252,0.9985190492179096,0.6765605389974271,1.0,0.8856017331074812,0.000399052458909,-0.0002638832172521,0.5178156775278762,0.4932186481353108,0.9719936338335684,0.9981202596375554,0.6650613086489181,1.0,0.8896203663586213,-0.0002252551437892,-0.0011935584155785,0.5205386352297252,0.4820305892950838,0.1412559336441287,0.0069957200697745,0.0064108170996456,0.0075806230399033,0.2298346917050161,0.2253966828287163,0.2342727005813159,Embedding,10587.0
27,pamona,0.8857828688567653,0.7864218131710622,0.2521581590344845,1.0,0.9155137740595723,-0.000715633325486,-0.0005705417617478,0.4961351007823896,0.4830916161160471,0.788992131627317,0.232575167147611,0.0777665888876386,1.0,0.9247958592026682,-8.770021972240805e-05,-3.83335070194885e-05,0.4887110125985061,0.479367898216005,0.5055479961942044,0.0004956654188414,0.0004183847462638,0.0005729460914189,0.2359624901365355,0.237944470586863,0.2339805096862079,Embedding,10587.0
28,SeuratV3_CCA,0.9697809881906212,0.9967572715700852,0.619401976553453,1.0,0.8983865039840588,-0.0001479962194038,-0.0009488691075743,0.5103642463309916,0.4869145725358437,0.9749254057624192,0.9986890690595284,0.6684571963322365,1.0,0.8953358685152271,-0.0004183430050993,-0.0005042139516247,0.5108981117740053,0.4913004919799864,0.3314636728722952,0.0015222568398906,0.0015257190175234,0.0015187946622578,0.2200894650748457,0.2358923956282768,0.2042865345214146,Embedding,10587.0
29,SeuratV4_RPCA,0.9708967402989298,0.9956701738869894,0.6252711019711791,1.0,0.8966704943027154,-0.0003502706075656,-0.0005967751187334,0.502839067661296,0.4869606562630909,0.9696784425394444,0.9926057746328438,0.6193968484862937,1.0,0.8944052249198929,-0.0007703917298038,-0.0008399281446582,0.5048101747233481,0.4906188725288964,0.3113406511300876,0.002622264927655,0.0041358934884462,0.0011086363668639,0.2146257070981214,0.2333200839630019,0.1959313302332408,Embedding,10587.0
30,uniPort,0.9761619482468472,0.9987921989535824,0.6785950412068642,1.0,0.8877775905588021,-0.0007322185796323,0.0006022714928239,0.5226653864696592,0.4893628856210751,0.9687022491501748,0.9981928732456046,0.6658733589619239,1.0,0.8919744961493482,-0.0006457731746674,-0.0002249084233941,0.5022611860060435,0.4939615478729711,0.3028923567310045,0.0027881008323196,0.0023407288101527,0.0032354728544864,0.2305332991403265,0.225650428750423,0.2354161695302299,Embedding,10587.0
31,GLUE,0.9788257943550286,0.9991123611242092,0.6795303909846891,1.0,0.8920202299008881,0.0002691263092129,-0.0004413115566032,0.5125442166377447,0.4929758390036455,0.9702770642401164,0.9979012353655944,0.666170892343231,1.0,0.8869698478365622,0.0001466124126798,-0.0008118734111409,0.5152600092867313,0.4891754009585392,0.1402209882196646,0.0083473365606535,0.0083293597004687,0.0083653134208384,0.2356906542539998,0.2396660463507535,0.2317152621572462,Embedding,10587.0
32,pamona,0.8857828688567653,0.7864218131710622,0.2521581590344845,1.0,0.9155137740595723,-0.000715633325486,-0.0005705417617478,0.4961351007823896,0.4830916161160471,0.788992131627317,0.232575167147611,0.0777665888876386,1.0,0.9247958592026682,-8.770021972240805e-05,-3.83335070194885e-05,0.4887110125985061,0.479367898216005,0.5055479961942044,0.0004956654188414,0.0004183847462638,0.0005729460914189,0.2359624901365355,0.237944470586863,0.2339805096862079,Embedding,10587.0
33,SeuratV3_CCA,0.9697809881906212,0.9967572715700852,0.619401976553453,1.0,0.8983865039840588,-0.0001479962194038,-0.0009488691075743,0.5103642463309916,0.4869145725358437,0.9749254057624192,0.9986890690595284,0.6684571963322365,1.0,0.8953358685152271,-0.0004183430050993,-0.0005042139516247,0.5108981117740053,0.4913004919799864,0.3314636728722952,0.0015222568398906,0.0015257190175234,0.0015187946622578,0.2200894650748457,0.2358923956282768,0.2042865345214146,Embedding,10587.0
34,SeuratV4_RPCA,0.9708967402989298,0.9956701738869894,0.6252711019711791,1.0,0.8966704943027154,-0.0003502706075656,-0.0005967751187334,0.502839067661296,0.4869606562630909,0.9696784425394444,0.9926057746328438,0.6193968484862937,1.0,0.8944052249198929,-0.0007703917298038,-0.0008399281446582,0.5048101747233481,0.4906188725288964,0.3113406511300876,0.002622264927655,0.0041358934884462,0.0011086363668639,0.2146257070981214,0.2333200839630019,0.1959313302332408,Embedding,10587.0
35,uniPort,0.9761619482468472,0.9987921989535824,0.6785950412068642,1.0,0.8877775905588021,-0.0007322185796323,0.0006022714928239,0.5226653864696592,0.4893628856210751,0.9687022491501748,0.9981928732456046,0.6658733589619239,1.0,0.8919744961493482,-0.0006457731746674,-0.0002249084233941,0.5022611860060435,0.4939615478729711,0.3028923567310045,0.0027881008323196,0.0023407288101527,0.0032354728544864,0.2305332991403265,0.225650428750423,0.2354161695302299,Embedding,10587.0
