,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
21,CiteFuse,Graph,10465.0,,,1.0,1.0,,0.0,0.0,-2.2396868742087082e-11,-8.231584835358663e-12,0.9486650941649502,0.9799572202272966,,
22,MaxFuse-louvain,Embedding,10465.0,,,0.9611857108678956,0.9534171318457044,,0.7364920446197656,0.6356317752982817,0.827601173105436,0.7793664074700213,0.9934615202135444,0.9994883446412328,0.5368071799955367,0.5458160534733907
23,MOFA2-louvain,Embedding,10465.0,,,0.900090083631715,0.9511891169025082,,0.4240550089715003,0.4058804792683346,0.7348743039912805,0.6957067198422905,0.9908764654558492,0.9997707682425292,0.5405860378278272,0.5718869458884001
24,multigrate-louvain,Embedding,10465.0,,,0.8861781157841019,0.9527363057016408,,0.4467708161363516,0.4113208289613508,0.7508675193854543,0.7048445513747515,0.9933733486199232,0.999826267457499,0.552831218455379,0.6395726852118969
25,SCALEX-louvain,Embedding,10465.0,,,0.9038118411736203,0.9504058605794596,,0.5359845678974052,0.5080569068961082,0.7642002928028825,0.7349918833495863,0.9897223019977582,0.9994514214976408,0.5426356643622153,0.6034549586474895
26,sciPENN-louvain,Embedding,10465.0,,,0.6500362574475487,0.7752274340959957,,0.4398474998669412,0.4157096843350349,0.4388434468174813,0.4152116277720163,0.9641483946827256,0.8923192116057028,0.4632452815973298,0.4701394271105528
27,scMDC-louvain,Embedding,10465.0,,,0.9403621527690164,0.9414220599608976,,0.6377019859377551,0.5545622893737618,0.8122085677461662,0.7608304207151777,0.9980665820999104,1.0,0.5426999380640489,0.6299433313310147
28,SeuratV4,Graph,10465.0,,,0.9812210852419112,0.958318725190988,,0.6843287983299512,0.6019029876710976,0.8166769330716405,0.777007154216044,0.9971961455874786,1.0,,
29,totalVI-louvain,Embedding,10465.0,,,0.9540377491296084,0.962648610719778,,0.7912719634642776,0.6759267399663501,0.8274227714952682,0.7737098508173368,0.9940752015931869,0.9992819243078412,0.5518516411902965,0.5542261086404323
30,bindSC-louvain,Embedding,10465.0,,,0.955351139643497,0.9586704173215622,,0.5806730032648854,0.5231925063751619,0.7911376496216661,0.7553554018998678,0.9943096816488212,0.9997333869168752,0.5431297887606841,0.5863715127110481
31,CiteFuse,Graph,10465.0,,,1.0,1.0,,0.0,0.0,-2.2396868742087082e-11,-8.231584835358663e-12,0.9486650941649502,0.9799572202272966,,
32,MaxFuse-louvain,Embedding,10465.0,,,0.9585545601997552,0.9255118550395236,,0.6972949999102034,0.6216057996839146,0.8180083514889256,0.7820377791383489,0.9925734314288792,0.999192596942596,0.5350812054675771,0.5381625348003581
33,MOFA2-louvain,Embedding,10465.0,,,0.900090083631715,0.9511891169025082,,0.4240550089715003,0.4058804792683346,0.7348743039912805,0.6957067198422905,0.9908764654558492,0.9997707682425292,0.5405860378278272,0.5718869458884001
34,multigrate-louvain,Embedding,10465.0,,,0.8861781157841019,0.9527363057016408,,0.4467708161363516,0.4113208289613508,0.7508675193854543,0.7048445513747515,0.9933733486199232,0.999826267457499,0.552831218455379,0.6395726852118969
35,SCALEX-louvain,Embedding,10465.0,,,0.9038118411736203,0.9504058605794596,,0.5359845678974052,0.5080569068961082,0.7642002928028825,0.7349918833495863,0.9897223019977582,0.9994514214976408,0.5426356643622153,0.6034549586474895
36,sciPENN-louvain,Embedding,10465.0,,,0.605714219371022,0.765574022667591,,0.4374234332933429,0.4164443273606265,0.3962937845599901,0.3689641365666078,0.952802226799359,0.8733702788789217,0.4563428390109421,0.4676422635093331
37,scMDC-louvain,Embedding,10465.0,,,0.9404147959119896,0.8866036321119758,,0.574168756718597,0.4924404846573111,0.8036543667655144,0.7461531000509752,0.9984041125412164,1.0,0.544767403969002,0.6282046496868133
38,SeuratV4,Graph,10465.0,,,0.9812210852419112,0.958318725190988,,0.6843287983299512,0.6019029876710976,0.8166769330716405,0.777007154216044,0.9971961455874786,1.0,,
39,totalVI-louvain,Embedding,10465.0,,,0.9671094967231044,0.9617343532225392,,0.7169003782887227,0.6341215925263538,0.8204273027197567,0.7820798340163141,0.995465735414488,0.999177869783598,0.5520632161458611,0.5531835162080825
40,bindSC-louvain,Embedding,10465.0,,,0.955351139643497,0.9586704173215622,,0.5806730032648854,0.5231925063751619,0.7911376496216661,0.7553554018998678,0.9943096816488212,0.9997333869168752,0.5431297887606841,0.5863715127110481
41,CiteFuse,Graph,10465.0,,,1.0,1.0,,0.0,0.0,-2.2396868742087082e-11,-8.231584835358663e-12,0.9486650941649502,0.9799572202272966,,
42,MaxFuse-louvain,Embedding,10465.0,,,0.956264897968062,0.9492301359126742,,0.6685253893260035,0.5960548991498923,0.8164656118825637,0.7779756537438725,0.9936026176389968,0.999592337394132,0.5375815496885671,0.5437370183120948
43,MOFA2-louvain,Embedding,10465.0,,,0.900090083631715,0.9511891169025082,,0.4240550089715003,0.4058804792683346,0.7348743039912805,0.6957067198422905,0.9908764654558492,0.9997707682425292,0.5405860378278272,0.5718869458884001
44,multigrate-louvain,Embedding,10465.0,,,0.8861781157841019,0.9527363057016408,,0.4467708161363516,0.4113208289613508,0.7508675193854543,0.7048445513747515,0.9933733486199232,0.999826267457499,0.552831218455379,0.6395726852118969
45,SCALEX-louvain,Embedding,10465.0,,,0.9038118411736203,0.9504058605794596,,0.5359845678974052,0.5080569068961082,0.7642002928028825,0.7349918833495863,0.9897223019977582,0.9994514214976408,0.5426356643622153,0.6034549586474895
46,sciPENN-louvain,Embedding,10465.0,,,0.5799872230194697,0.7506659644592788,,0.3730735566044857,0.3419265028750486,0.3680992654739348,0.3393565678232311,0.9403720350417007,0.8511160433176097,0.4513439441246814,0.4632112119346857
47,scMDC-louvain,Embedding,10465.0,,,0.9486557192805708,0.9333360462473548,,0.5953636892869075,0.5101582874291682,0.8066435998400666,0.7512245835504524,0.9977552289984007,1.0,0.5432719652338787,0.6325718589127064
48,SeuratV4,Graph,10465.0,,,0.9812210852419112,0.958318725190988,,0.6843287983299512,0.6019029876710976,0.8166769330716405,0.777007154216044,0.9971961455874786,1.0,,
49,totalVI-louvain,Embedding,10465.0,,,0.9627239895807692,0.9603810178718636,,0.7103634687678297,0.6176990236723479,0.8213345158857741,0.7721164737570645,0.9938410594580802,0.9992878298473004,0.5521398915627383,0.5503652882296592
