,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
MaxFuse-louvain,Embedding,9026.0,0.8983296673623742,0.9075300636347816,0.912785915141713,0.9217182044437294,0.3310239863531295,0.47648711241491404,0.4863760886406996,0.7303564763995949,0.7115553163307647,0.9843510190784496,0.9918816939452234,0.5611693989485502,0.5389944447204471
MOFA2-louvain,Embedding,9026.0,0.83782056395922,0.8534798505455595,0.8306362919286837,0.8812360077893621,0.19896731937605902,0.36287323963640644,0.3507590719935521,0.6758718954618729,0.6478769209045807,0.9834467245436457,0.9929164371535811,0.5964090203245481,0.5416562325321138
multigrate_batch-louvain,Embedding,9026.0,0.8320114347363065,0.9174641719782921,0.8065644265006415,0.8530398387442913,0.4408820924639578,0.45010576999399593,0.424583944325939,0.7128831850802272,0.6730354204262393,0.9855909569132858,0.9933948432715207,0.6887906789779663,0.5875252284109592
multigrate-louvain,Embedding,9026.0,0.8463046014604362,0.8826768310268203,0.7673868643915731,0.8703837275259078,0.24855882754436998,0.39985878487903365,0.35354281499992185,0.672279628577516,0.6351864867692658,0.983295958386174,0.9950706294935229,0.5864254646003246,0.5839168190723285
SCALEX-louvain,Embedding,9026.0,0.8773020707720394,0.87530480906826,0.864589212175627,0.9389920338838929,0.23955501834917248,0.39117392146071667,0.43861360566585283,0.694709147173505,0.6893302572161301,0.9855008440771851,0.9938367888617294,0.5925638104478518,0.5778538984246552
sciPENN_batch-louvain,Embedding,9026.0,0.9472644831767183,0.9583793955950755,0.7432307671334982,0.8665229701363766,0.48105688642581046,0.5689678202919372,0.6970885742392675,0.6587846582827707,0.71487942240633,0.9626666002350311,0.9241531511744719,0.5074848565272987,0.49552418095991013
sciPENN-louvain,Embedding,9026.0,0.9487465854158285,0.9604301872557318,0.7153888335283488,0.862636974907125,0.4807834363285931,0.5831606495575586,0.6288331193859612,0.6602676920456045,0.6823071043067536,0.9538314032382368,0.9137902498169361,0.505892209863911,0.4946892224252224
scMDC-louvain,Embedding,9026.0,0.875091053998244,0.8843088247294556,0.9203442647152694,0.8700478639779444,0.22616201571914923,0.4553477926647189,0.44013751544635465,0.7313530793159956,0.6919770072144921,0.9921687474575986,0.9987032396967648,0.6186085244019827,0.6110278971493244
SeuratV4-louvain,Graph,9026.0,0.881605113970273,0.9266151544334089,0.2049807658793905,0.4108757528794268,0.38036859712117776,0.6954935755704506,0.6700343392024188
SeuratV4-louvain,Graph,9026.0,0.881605113970273,0.9266151544334089,0.4108757528794268,0.38036859712117776,0.6954935755704506,0.6700343392024188
totalVI_batch-louvain,Embedding,9026.0,0.8072833064223177,0.8255965583868087,0.5798059277025361,0.8168750336413207,0.1927019387783884,0.3039389677282627,0.3095800276936546,0.5316005396072003,0.5621932687283111,0.9668184646752039,0.9771431389320269,0.6791025300820669,0.47937949958723036
totalVI-louvain,Embedding,9026.0,0.8833885954035273,0.871704802340983,0.8907597048969966,0.932624079462762,0.15359663444715352,0.4227358108375463,0.3876644480413245,0.6845257489977208,0.6617812948862652,0.9858583444844101,0.9933838214263386,0.5709572459260622,0.5385474271140993
bindSC-louvain,Embedding,9026.0,0.8984853767045596,0.8843153331778847,0.8803239090654413,0.9501033339225907,0.23538322521778204,0.5520380133340361,0.537573991988742,0.7418498053775104,0.732473649036729,0.9870381048412299,0.9957042397388073,0.5692655816674232,0.5681069100275635
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.09500838991252859,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
MaxFuse-louvain,Embedding,9026.0,0.8946650071093446,0.9058886558517876,0.9299829613577552,0.9108586165129855,0.29597482919551044,0.5157703047618587,0.49555225877740544,0.7445046152124022,0.713150675728585,0.985569399462975,0.9909522581761904,0.5721168542901675,0.5439453597180546
MOFA2-louvain,Embedding,9026.0,0.8370339622872768,0.8402169924193924,0.8069227790128987,0.886269777730394,0.1956957984301586,0.39892191981661645,0.3649891810819194,0.6719197481228449,0.6461346022624853,0.9849913671261117,0.99334221378956,0.5747807671626409,0.5421945914626122
multigrate_batch-louvain,Embedding,9026.0,0.8362626297106843,0.9095892067598905,0.827664065917003,0.9072403055738294,0.4372911997854081,0.4189729225675657,0.40462797360270514,0.7187478436145762,0.6711270327269135,0.9845112307878737,0.99309527571779,0.6567798554897308,0.5914642823860049
multigrate-louvain,Embedding,9026.0,0.8519687471951216,0.8722385562746722,0.7577799189369988,0.8747121677622088,0.2442501776669072,0.34631457340123606,0.3302096666470256,0.6742402110303168,0.6453010457217734,0.9847457780241062,0.9938957690356351,0.6658051113287607,0.5842488266527652
SCALEX-louvain,Embedding,9026.0,0.8778156300236639,0.8738981112359145,0.8637678904495867,0.9147145607313705,0.2692583908587244,0.3883816070307851,0.45414992558322226,0.6964346309680234,0.6934703672462015,0.9834798112855229,0.9929753628865485,0.626704807082812,0.5771568484604359
sciPENN_batch-louvain,Embedding,9026.0,0.9429519503943674,0.9502443050301673,0.7241097410343358,0.888820349605337,0.4923673507434864,0.5645269366944693,0.6356478549184599,0.6382069961113525,0.677412754438139,0.9567420764803224,0.9236613692452013,0.47520867983500165,0.49750882720109074
sciPENN-louvain,Embedding,9026.0,0.9430858214187322,0.9566029691577956,0.7212200913427721,0.8649126553488735,0.4842670938001305,0.5538339830799988,0.6720068663651547,0.6513309346975619,0.6987576567128817,0.9595233867918375,0.9284614764590002,0.4905491805014511,0.4972307152114809
scMDC-louvain,Embedding,9026.0,0.8594268735040711,0.8608138777268967,0.9119771536800126,0.9220237933417852,0.20329756251000575,0.4785043084659489,0.42979262462901613,0.7422250167224573,0.6960217267086567,0.992842280553625,0.9985078862672582,0.6131931692361832,0.621708919480443
SeuratV4-louvain,Graph,9026.0,0.8991960898801562,0.9450459230738864,0.17651644607102862,0.41970503491223077,0.37979211929530277,0.6969983712512435,0.662466879176432
SeuratV4-louvain,Graph,9026.0,0.8991960898801562,0.9450459230738864,0.41970503491223077,0.37979211929530277,0.6969983712512435,0.662466879176432
totalVI_batch-louvain,Embedding,9026.0,0.8932046816690511,0.9321934519912879,0.9156162845867354,0.9233877920504643,0.4096106583461243,0.5980689328860581,0.5256691097534479,0.7681949875008135,0.7208074056385133,0.9880604912591426,0.9950201524556582,0.5345264549056689,0.5431795591022819
totalVI-louvain,Embedding,9026.0,0.8746702885095301,0.8551416786651379,0.8897111763994183,0.9401610433805763,0.1134935375535958,0.3971761265962268,0.3730392967945487,0.6706475649259594,0.6502218315464994,0.9868192959739045,0.9937073112612238,0.5990961690743765,0.5398070281138644
bindSC-louvain,Embedding,9026.0,0.8975112099391971,0.8786042833206567,0.9053861653822259,0.9520175751202158,0.20339390121939038,0.5420241314502879,0.49956076291077584,0.7306796723077711,0.71412794212334,0.9870872438189333,0.9967723984261553,0.5827063197890917,0.5726706393063068
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.13585590018425,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
MaxFuse-louvain,Embedding,9026.0,0.9011935463903159,0.8979881356434266,0.9256255633395755,0.9543108558668514,0.30116577851444715,0.4848378307693986,0.45532473886908426,0.7388017840914224,0.7054114553795688,0.9873118336507403,0.993878281547687,0.5696271707614263,0.5443962209858
MOFA2-louvain,Embedding,9026.0,0.8274330442851303,0.8314177840313048,0.8066243933676123,0.8882667793310489,0.1898870030371541,0.3821461995259998,0.34093530516757753,0.6789102553979697,0.6412780474581881,0.9856817750381434,0.9938831219897527,0.5737297857801119,0.5503134816681268
multigrate_batch-louvain,Embedding,9026.0,0.8350382477838488,0.9048074545818585,0.7970296025707986,0.8729994758477149,0.4476440935350768,0.4441542367037535,0.4400481886575027,0.7290244147805427,0.688396963337799,0.9872874312208727,0.9960292162168499,0.5881723910570145,0.5915486138314009
multigrate-louvain,Embedding,9026.0,0.8718155050710379,0.8954811065695314,0.7893035347081526,0.8877489731298859,0.2365228233447304,0.38794225572661806,0.3662121691925264,0.6806205264420596,0.6539268339811831,0.9865555481967995,0.9930535678808976,0.6716851393381754,0.590734010282904
SCALEX-louvain,Embedding,9026.0,0.876093285531208,0.892545438506279,0.8827010142223728,0.9371543227418908,0.28126298978908176,0.3973012360474182,0.4755829519137619,0.7076053053078021,0.7016238493651112,0.9852565252140355,0.993573397525283,0.6175131797790527,0.5840010719373823
sciPENN_batch-louvain,Embedding,9026.0,0.9460090133861636,0.9549632242700715,0.7386120560353606,0.8948829872239964,0.5010150222205763,0.5671633738280666,0.6403184136811813,0.6448235758470062,0.6911820825937156,0.9526284875999376,0.9118266487009971,0.4823829069112738,0.49946432635188104
sciPENN-louvain,Embedding,9026.0,0.9467813296383536,0.9567725335985674,0.7645494751609266,0.8817562404852133,0.48475842163963173,0.5828877647730649,0.6409938642270936,0.6674156247990574,0.697213556476931,0.9588236133985859,0.9213980073686283,0.510778995230794,0.5001617395086214
scMDC-louvain,Embedding,9026.0,0.8587120514077796,0.8208322398594258,0.9213081247248068,0.8557411597012189,0.18133720772473544,0.445932183289131,0.4177773008885763,0.7373548293171398,0.6917830993810955,0.992677977391385,0.9986841126887569,0.5453121525545915,0.6304037927649915
SeuratV4-louvain,Graph,9026.0,0.9329934193759477,0.9600601305893539,0.15284793673500563,0.4054998649203116,0.36612801129363964,0.6851761776497879,0.653840188169412
SeuratV4-louvain,Graph,9026.0,0.9329934193759477,0.9600601305893539,0.4054998649203116,0.36612801129363964,0.6851761776497879,0.653840188169412
totalVI_batch-louvain,Embedding,9026.0,0.8908770873572023,0.92733380571032,0.8947780390942001,0.9274522467837214,0.40772674411477455,0.669701291073937,0.5766000363920307,0.7709234657107173,0.7206607656878198,0.9907613394775946,0.9965152817631354,0.5356746794035038,0.5452102145005483
totalVI-louvain,Embedding,9026.0,0.861119082149797,0.8297312889477947,0.9033457815889196,0.9193451044589006,0.10926693330115832,0.36218875308247467,0.3351046769949778,0.6397988079724845,0.6260289162226561,0.9867022183050373,0.9942335734161465,0.5893070995807648,0.5407969567808323
bindSC-louvain,Embedding,9026.0,0.8959702282359249,0.8737596351631902,0.9014670332622741,0.9480600708197848,0.19099685362703928,0.47959293480739396,0.48584877693719086,0.7135653860887674,0.7074809361566362,0.9886796209474352,0.9966988334273162,0.5850484694043795,0.5750292561948299
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.10926028528999841,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
MaxFuse-louvain,Embedding,9026.0,0.9013790641215067,0.8881092517805357,0.9282442100307742,0.9302308770950116,0.2737114771917476,0.4956355344056319,0.4920244998512231,0.7489240815304123,0.7233535653987736,0.9870669929446751,0.9933122931808592,0.5706292440493902,0.5475194596685469
MOFA2-louvain,Embedding,9026.0,0.8518899333230364,0.8476033862696724,0.821006996904266,0.8788456170219986,0.19663767001925844,0.3924576916361268,0.35889480175462485,0.6852617961391971,0.653981182789369,0.984786432060793,0.9953216532210694,0.5800940126258259,0.552576117150602
multigrate_batch-louvain,Embedding,9026.0,0.8292379198454811,0.907692458422322,0.8144039782173547,0.8947006759591691,0.42971529743223047,0.4721372422355041,0.4502296793496147,0.7449758591289515,0.6947850824073118,0.9863995539584316,0.9936071439068144,0.5254479249318441,0.5965587373822927
multigrate-louvain,Embedding,9026.0,0.8583107691535511,0.8734782103636769,0.7858116276985068,0.897478229270722,0.2241929339838616,0.3742038350605126,0.32729861983827735,0.6785969778476432,0.6368517509786558,0.9849913121381,0.9948091122350919,0.6961365739504496,0.5834603740833699
SCALEX-louvain,Embedding,9026.0,0.8782579303983031,0.8848197907057813,0.8636060250439601,0.9231179832803355,0.2843325070075839,0.42875902908344254,0.443411075365695,0.714107671551742,0.6877066715131522,0.9845516269516635,0.9935900945034124,0.6063832441965739,0.581338120624423
sciPENN_batch-louvain,Embedding,9026.0,0.9430397390498143,0.9539597017211753,0.708809292055532,0.8622086113439924,0.5002631510139985,0.5923912873833325,0.6470968061847859,0.6623034853141114,0.6920283170063047,0.9584768845476028,0.9266998839610999,0.49381209040681523,0.49619425346609203
sciPENN-louvain,Embedding,9026.0,0.9481995236816564,0.9573881642274825,0.7653353769215714,0.8836959351898912,0.49468474391362505,0.5798329320934443,0.6455531686345477,0.6518154348869533,0.6851039992350618,0.9545696327669202,0.922067356689637,0.49634502703944844,0.4952410491532646
scMDC-louvain,Embedding,9026.0,0.8252975777260463,0.8222306061669359,0.8977564223298605,0.8147311241137544,0.15542627865120995,0.38160428980308764,0.3985477994300996,0.7103096987319852,0.6857259590805714,0.9912487324875293,0.9983697267723485,0.6275525887807211,0.6082749269902706
SeuratV4-louvain,Graph,9026.0,0.9297700003934051,0.9557352398133017,0.15049617289060116,0.40535799733868116,0.37685692358002626,0.6859104612913004,0.6545823073917456
SeuratV4-louvain,Graph,9026.0,0.9297700003934051,0.9557352398133017,0.40535799733868116,0.37685692358002626,0.6859104612913004,0.6545823073917456
totalVI_batch-louvain,Embedding,9026.0,0.8872945577684332,0.9202813215210861,0.9089386246068396,0.9251558213641713,0.403496290343497,0.6579837752279991,0.5923023532408841,0.7859803235873948,0.7470027504551082,0.9908330842586907,0.9964106556604695,0.528633842865626,0.5445111786946655
totalVI-louvain,Embedding,9026.0,0.8543623031144723,0.8245111203402907,0.8979278031170131,0.9194961164424855,0.10087970519722621,0.3868699206024203,0.3494872992323265,0.646107466446941,0.6289096031253397,0.9868099674426726,0.9936846962479685,0.5793944969773293,0.5420170979574322
bindSC-louvain,Embedding,9026.0,0.9201219160958609,0.9148792424963214,0.8816848058905743,0.9461866823471977,0.2519867401824499,0.4634934586510606,0.5181778225281937,0.6995805630957286,0.7171796106933184,0.982781789799866,0.992940760844598,0.5662108858426412,0.5582218304276466
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.13551739863172363,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
MaxFuse-louvain,Embedding,9026.0,0.9024402573742675,0.9060717433021647,0.8945015622129688,0.9460772708098514,0.34990579914415465,0.6935258757640895,0.6730892392405361,0.7119858969507549,0.7201581729237122,0.9780261359705655,0.9821683919607097,0.5263815053428212,0.5275236377317924
MOFA2-louvain,Embedding,9026.0,0.8425678354341852,0.8209134790997349,0.804427757927251,0.9246816179161185,0.12078371765655009,0.36210671448798726,0.34729167352494916,0.6635180055325602,0.654753933672194,0.9876432879630991,0.9961973804197233,0.5902050075431665,0.5677920108195394
multigrate_batch-louvain,Embedding,9026.0,0.8425266262221291,0.9051308349976181,0.8407302759111769,0.9143220591638606,0.40200941888408775,0.3999693485608411,0.4220338980876023,0.7231487119938186,0.693542299726329,0.990150882547427,0.997209672801773,0.5483712119360765,0.5988094646483659
multigrate-louvain,Embedding,9026.0,0.8415323934536095,0.8114096635986293,0.7473864940830561,0.8753413305655467,0.15342940845321157,0.34869973767725587,0.31715331360888827,0.6513218955000611,0.6265704828523134,0.9860366861096259,0.9938642403630943,0.6324466466903687,0.5756772752851248
SCALEX-louvain,Embedding,9026.0,0.8453796763623818,0.8668988355060964,0.7683508607569937,0.9036485899994187,0.3152428140317932,0.41709214111881016,0.5587719595432672,0.6573019578864169,0.7109960712619493,0.9738127843975873,0.9882017062947356,0.508934366206328,0.5851661295630037
sciPENN_batch-louvain,Embedding,9026.0,0.9462724428467695,0.9732696104188452,0.38161244275806816,0.7268095935574268,0.5091286877873706,0.09389222305381945,0.13848301301298643,0.1479000529003757,0.166973451330842,0.8860418715627028,0.6589591307291585,0.45596052209536236,0.468200418818742
sciPENN-louvain,Embedding,9026.0,0.9326562540504741,0.962449205596247,0.37851363841757496,0.72962588173896,0.500662579372401,0.17877757834658,0.22001391840274737,0.17865752380949132,0.20761726253345875,0.8896720560788737,0.6654945562598502,0.44029634445905685,0.46628483636304735
scMDC-louvain,Embedding,9026.0,0.8619797287757555,0.8625409789887315,0.8666362798513759,0.7395729719432416,0.2280241087738726,0.40250546002659027,0.4522226748028701,0.6972575178692895,0.6984129976747323,0.9884191107773564,0.9986644700337841,0.5713870575030645,0.6226411469280719
SeuratV4-louvain,Graph,9026.0,0.8795886202945344,0.9352762952122609,0.12424096387981583,0.38875377828625857,0.3518436437226056,0.6567931226897746,0.6395796897326289
SeuratV4-louvain,Graph,9026.0,0.8795886202945344,0.9352762952122609,0.38875377828625857,0.3518436437226056,0.6567931226897746,0.6395796897326289
totalVI_batch-louvain,Embedding,9026.0,0.8830645471269893,0.9160578068519715,0.8919145492862189,0.9256571980102931,0.40418911559015186,0.7581595701846496,0.6837990865647239,0.7716361055919296,0.7441956661169831,0.9853715866610989,0.9917091527127221,0.5138420810302099,0.5431407075375319
totalVI-louvain,Embedding,9026.0,0.8696631649742859,0.8316555747308351,0.8908189420625304,0.9300843731256248,0.12960767342468404,0.37701080292136624,0.34607292944545454,0.6334323122800605,0.6195134656362591,0.983413536014348,0.9909477920286369,0.5468673805395762,0.5314603576203808
bindSC-louvain,Embedding,9026.0,0.9262984891999622,0.9258844188781677,0.8443021743025183,0.9334276894961301,0.3355565035962631,0.6559781907140959,0.7438043920402037,0.684727808884048,0.7343679563052589,0.9780022725565534,0.9831469752239774,0.5349540101985136,0.5452576011593919
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.11172087470332444,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
MaxFuse-louvain,Embedding,9026.0,0.8917405467022205,0.8989595097791242,0.8537989125002691,0.9254070345314085,0.39905817500438234,0.6875580575972537,0.6912114404337794,0.6970464599759735,0.7047619438909776,0.9735744028301507,0.9724629322521271,0.5195739778379599,0.5216138932388276
MOFA2-louvain,Embedding,9026.0,0.8526626847077096,0.8393753420009116,0.7412379895427541,0.8847156676920088,0.17287265015277323,0.3672113208794586,0.35814497925819583,0.6189532921124336,0.626365684316421,0.9802167976859301,0.9920709022365348,0.5861032456159592,0.5376138474792242
multigrate_batch-louvain,Embedding,9026.0,0.8295318432770425,0.8982787779565022,0.841502673287749,0.91978500352747,0.4320148944334505,0.39918834821820814,0.414074566024023,0.7046227759974352,0.6824048836803962,0.9860913436085622,0.9963595535749613,0.6851636071999868,0.6010522852651775
multigrate-louvain,Embedding,9026.0,0.8417747205693229,0.8404157528648383,0.7589837648892733,0.8825096114229651,0.222158664355608,0.3243815189095315,0.30484416543534804,0.647214021510152,0.6292083964778649,0.9838099738768086,0.9923809442315729,0.580220897992452,0.5768150636926294
SCALEX-louvain,Embedding,9026.0,0.9010116270429759,0.9013485170099697,0.7896129829049148,0.9039715957405067,0.27677926637996003,0.5092397039496781,0.560120717843226,0.6649679817125944,0.7010170764696897,0.9757279656098892,0.9860622928039214,0.5201329787572225,0.5665690409950912
sciPENN_batch-louvain,Embedding,9026.0,0.9289419724510078,0.961765622210014,0.3825754256663212,0.7359291402336919,0.489920938177659,0.14803861960643885,0.2016173115442636,0.17001755289837261,0.19997814564565436,0.887767397418513,0.6556064860190879,0.4725293541948001,0.46757814213633536
sciPENN-louvain,Embedding,9026.0,0.946941189735432,0.9738678384299,0.38492127472776894,0.7140446211088554,0.5013095976920919,0.18682032960214523,0.23300754780199384,0.16510517333274524,0.19075795255551817,0.8925579997477285,0.6720718192757402,0.44799168159564334,0.4632206134498119
scMDC-louvain,Embedding,9026.0,0.8654672803868195,0.8887714535597493,0.871582681778789,0.9140972330446979,0.28305976897359403,0.4802987664743347,0.4878391679916121,0.7169944666412208,0.6993504616340295,0.987969996439902,0.997125567610265,0.5080786123871803,0.5758953291922808
SeuratV4-louvain,Graph,9026.0,0.854015523238614,0.971372097486938,0.19119946126876047,0.5130886073062282,0.4662516308763018,0.6607163065290201,0.6527445376933466
SeuratV4-louvain,Graph,9026.0,0.854015523238614,0.971372097486938,0.5130886073062282,0.4662516308763018,0.6607163065290201,0.6527445376933466
totalVI_batch-louvain,Embedding,9026.0,0.9036507719958027,0.9312517150193929,0.8624447229498413,0.9459124950608213,0.4304372225221247,0.6020276682130117,0.5677925301165885,0.716765537219832,0.6941100287984163,0.9792131000572076,0.9822580393151485,0.5126623722414175,0.5347871864913032
totalVI-louvain,Embedding,9026.0,0.9061179761594875,0.9007422429211661,0.8796045561395385,0.948198752967428,0.20648424713347888,0.524899618867033,0.5011833181008839,0.6671566904791011,0.6604220224089388,0.9790494522901134,0.9816963747831624,0.5060748383402824,0.5295129658770747
bindSC-louvain,Embedding,9026.0,0.9172510901106833,0.8949362431071843,0.9044511954607641,0.9473240916525599,0.21464045353535202,0.5094014679292868,0.47827667878999774,0.7198671731369594,0.7055592819895711,0.9852292175256863,0.9945348932513808,0.5758201256394386,0.5691750423051417
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.10477583941925352,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
MaxFuse-louvain,Embedding,9026.0,0.9105270950627297,0.9137243049268028,0.9164532322246673,0.9433851528828605,0.31012851630055044,0.5314234864991371,0.602377586116468,0.7335713320760322,0.741748925244101,0.9831638562541599,0.9922529384081736,0.5382243320345879,0.5336890926584601
MOFA2-louvain,Embedding,9026.0,0.8564248204980666,0.7996407167870088,0.8167639415655034,0.934007576306205,0.1295249278005017,0.3891947470087417,0.3422349845949979,0.6752119547660363,0.6497133546910532,0.9882662293484604,0.9955181916165657,0.607521173854669,0.5634416899643838
multigrate_batch-louvain,Embedding,9026.0,0.8367632184653803,0.9055816622880211,0.8549388524314954,0.9293076261919992,0.4217011556505456,0.5498441638510072,0.4923926216586546,0.7574751727302079,0.7171833166653891,0.9905331464612033,0.9988859941509182,0.630338524778684,0.6132597434334457
multigrate-louvain,Embedding,9026.0,0.8346357538669991,0.831258522174506,0.7824411529943052,0.8977585466487537,0.17443959694597105,0.3211474725004738,0.29708744991678937,0.6436678416387817,0.617175571787545,0.9859346295381727,0.9951066334230114,0.6654322445392609,0.5880546511150897
SCALEX-louvain,Embedding,9026.0,0.845918896952999,0.8905644352513851,0.8158093151740492,0.9036465128754297,0.3366545164318715,0.4374042317936419,0.5086255098930819,0.6804025880535509,0.7030640475262749,0.9782688177696497,0.9881160339965869,0.4895075683792432,0.5747303305193782
sciPENN_batch-louvain,Embedding,9026.0,0.963501674890099,0.9780758159946448,0.500894640382554,0.7946512695293096,0.48421981677406606,0.36452014215321654,0.4134488190307211,0.35844136710125585,0.3945254261648092,0.8986563423392849,0.7294044974694152,0.46123872076471645,0.47436987338587644
sciPENN-louvain,Embedding,9026.0,0.9464260224299227,0.9686864740938841,0.48447005730045845,0.7840084220466419,0.5115923875345408,0.3196111740850839,0.39023671464686177,0.3435898215281191,0.38867290180561187,0.9002358762601599,0.723150646280791,0.45805182432134944,0.4688898792490363
