,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
10,SeuratV4,Graph,9026.0,,,0.9126293477213828,0.9596330451138811,0.1455440368974063,0.4064528019937985,0.3795469865678652,0.6801736731072154,0.649600361707466,0.9871166523004514,0.99599972222116,,
11,totalVI_batch,Embedding,9026.0,0.8930629018056608,0.9247381658354064,0.9105755564067468,0.8985594570144946,0.3990120903435571,0.628488451645247,0.5476417474766734,0.7785519421228186,0.731915304204551,0.9905320482285772,0.9964822107090612,0.510422500471274,0.5497455014963635
12,totalVI-louvain,Embedding,9026.0,0.8575925750477811,0.8220772248204252,0.8934080065680678,0.956488513703686,0.0986022819273271,0.3537581663482075,0.33707815208559,0.630425779434858,0.6242169729042358,0.987166457036908,0.9938772425135955,0.5909833610057831,0.5454185971058905
13,bindSC-louvain,Embedding,9026.0,0.904890421759122,0.8681516998284063,0.91179588613454,0.9535919502759412,0.1895885304943763,0.5579228725201157,0.5030685353734485,0.7420671599894423,0.7136028809273491,0.9884747820252624,0.9967870407742244,0.585312028725942,0.5761032927781343
14,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1151843738661829,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9468979065491638,0.776944466694517,,
15,MaxFuse-louvain,Embedding,9026.0,0.902074779203922,0.8958518344168708,0.9421239174601058,0.9561648805282064,0.2579035564875424,0.4928830547147259,0.4623095127295643,0.7405517583355666,0.7050976833517623,0.9871585628731672,0.9942002280447908,0.5622738699118296,0.5464327675290406
16,MOFA2-louvain,Embedding,9026.0,0.8439244694525199,0.8395773321520797,0.814652491577573,0.8865901823968827,0.1774295396036516,0.3597786394926099,0.3312923277501067,0.6647742588003892,0.6357901393122998,0.9856445682276072,0.996131982334851,0.6084775726000468,0.5477508861571551
17,multigrate_batch-louvain,Embedding,9026.0,0.8293475123518206,0.9077418883624911,0.854519560720303,0.8954617234103525,0.430067789523871,0.4951119343526531,0.4684574157570371,0.7447198163352268,0.696976269187548,0.9893439601662244,0.9962710064442184,0.6205383688211441,0.5991512261331081
18,multigrate-louvain,Embedding,9026.0,0.8465469314332015,0.8654011538095111,0.7545501734680463,0.8811620732151336,0.2241968103441277,0.3213863608255105,0.2967635745947414,0.6560544717813995,0.6230557178313483,0.9858744844274392,0.994862187196456,0.6173520758748055,0.5939002587459982
19,SCALEX-louvain,Embedding,9026.0,0.872642774513055,0.8820990099829309,0.8769994651436049,0.9213132437256232,0.3010627378141999,0.4361857533592316,0.4677227475451552,0.7092579832564003,0.6972209045816784,0.9859104043447277,0.9935786740629804,0.5939684137701988,0.5793966454453766
20,sciPENN_batch,Embedding,9026.0,0.9217995112989948,0.951245373984944,0.4766816827542878,0.7011055376404848,0.4387171952812784,0.2572575391664387,0.310644800955694,0.3589742294449587,0.3752564092515371,0.9677790613794296,0.8933123649938616,0.4676085884372393,0.4578261672519147
21,sciPENN-louvain,Embedding,9026.0,0.9450130770972098,0.9565560012777968,0.7511536860845743,0.8792028098665126,0.4957991239328011,0.5533806796116659,0.617962552840126,0.6267677950498456,0.6664159409345641,0.9491729461515191,0.890708109535858,0.5182221059221774,0.4915473090484738
22,scMDC-louvain,Embedding,9026.0,0.8504408612988079,0.8196834957948617,0.9001013729904077,0.781428560050168,0.1804413045241358,0.42998361894589,0.403279276313223,0.7290573431868247,0.6865242155761858,0.9932769583639144,0.9987999445395922,0.5096768935521444,0.6061496107373386
