,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ATAC
38,scMVAE-louvain,Embedding,6924.0,0.887333764848086,0.8857411756782639,0.975901119697198,0.9900893907114529,0.2274861919113399,0.4688218559474694,0.5334554926588514,0.6353325669736852,0.6461544816875042,0.952113550255966,0.9392565410058412,0.6939366310834885,0.6272686719894409,R100,A50
39,scMVP-louvain,Embedding,6924.0,0.8787442314222687,0.8761218786977053,0.966193705866959,0.9720268551341856,0.2063114532540258,0.518958156687427,0.4875954852908767,0.7176003498704332,0.6819284488969466,0.9768101700538714,0.9833917727159248,0.6010003089904785,0.5170134343206882,R100,A50
40,SeuratV4,Graph,6924.0,,,0.9822837953362492,0.9766238288559342,0.2607142857142857,0.5434748857301914,0.4519758650601953,0.7281043974840485,0.6706653664830444,0.985925454859741,0.9873028992395328,,,R100,A50
41,uniPort-louvain,Embedding,6924.0,0.8372972555618544,0.8986704617258212,0.7905159777696619,0.8833275360130542,0.3790174243147559,0.3584261672197431,0.4405513569355354,0.5475981377679723,0.5748057829421418,0.9425220651900904,0.9302378310648892,0.5009286517160945,0.4727638121694326,R100,A50
42,cobolt-louvain,Embedding,6924.0,0.8274706505854839,0.8574695496823797,0.8810403081598831,0.9197272985338109,0.2901084395239894,0.3704369465848921,0.4069300274203066,0.5812535805572191,0.579513113659865,0.9528036519241252,0.9520000654887693,0.4435026161372661,0.5958720967173576,R100,A75
43,DCCA-louvain,Embedding,6924.0,0.8373210868748028,0.8475433944028771,0.9298408280040906,0.9692591252103988,0.2414119660067105,0.4157174779028879,0.4458605330134152,0.6480069196647574,0.6357389503828205,0.9731130339505382,0.979183818596988,0.6078125163912773,0.5919745415449142,R100,A75
44,MOFA2-louvain,Embedding,6924.0,0.8495394464693378,0.8466809930933805,0.9425583998134855,0.972229373265042,0.2509064766960627,0.4428800232034994,0.3756032664896123,0.6566568064312766,0.611790150796213,0.9709124921742592,0.9751010412984225,0.5634989961981773,0.6090714409947395,R100,A75
45,multigrate_batch-louvain,Embedding,6924.0,0.8250045205375025,0.9218514158093666,0.9125151918800032,0.9201452999821096,0.443190411997385,0.6299646395178704,0.6119961665059721,0.750360880933571,0.7245486031009193,0.9810290539515336,0.9864358849046546,0.4620719216763973,0.4576573632657528,R100,A75
46,multigrate-louvain,Embedding,6924.0,0.82630703592995,0.9063815824311602,0.9206214356201038,0.9321568910239536,0.3877580282231905,0.6225092282796933,0.571446371015306,0.7298731005882276,0.7013330376538158,0.9799721911224194,0.985660045434576,0.3811732977628708,0.4626696184277534,R100,A75
47,multivi_batch-louvain,Embedding,6924.0,0.8113311511452235,0.8723539595419534,0.9338049566118948,0.9585228756473284,0.2895078787393794,0.3754867061902553,0.3969742448076631,0.6022440825189279,0.6040689768103845,0.9611532036624394,0.9578417467911184,0.5695851743221283,0.5987497344613075,R100,A75
48,multivi-louvain,Embedding,6924.0,0.802877309144764,0.8482076756909805,0.9198186169985972,0.9367954948317532,0.2723677468786186,0.3291980054002569,0.3755121398500292,0.5960852132371051,0.6081727780608144,0.96042281494534,0.9556639849481572,0.4949134481139481,0.6198089122772217,R100,A75
49,scAI-louvain,Embedding,6924.0,0.8775121649433575,0.8553469119712364,0.9460711608454916,0.9597225071682618,0.1953122710347827,0.4422601628213746,0.4138582152101497,0.6674048755000819,0.6343618114003867,0.9777092828000612,0.9812432364028278,0.6619344651699066,0.5543259456753731,R100,A75
50,scDEC-louvain,Embedding,6924.0,0.8563160894259423,0.8850957121275081,0.8647562883351465,0.8360936937392899,0.2604876041779991,0.4828648230431235,0.501459797190758,0.6354318163613454,0.6105697466659612,0.9598382442409912,0.9540998555783228,0.5351113863289356,0.5420906282961369,R100,A75
51,scMDC-louvain,Embedding,6924.0,0.8687275825300007,0.9073984293147732,0.897613435561481,0.9539661245658202,0.2748718506810748,0.6066022166348295,0.5440980081643836,0.731193385376789,0.6807329334172735,0.9849052652679708,0.9858836296670452,0.3140197545289993,0.4908461030572653,R100,A75
52,scMVAE-louvain,Embedding,6924.0,0.8490425546721346,0.8447000873776038,0.9419949929472914,0.9803230314734778,0.2131323127673724,0.4258007286814628,0.4297763257914699,0.629334415354889,0.6264732543270436,0.9623304441703802,0.9630141063849676,0.6670640110969543,0.6107543259859085,R100,A75
53,scMVP-louvain,Embedding,6924.0,0.8789595296774849,0.8723614398658697,0.963283270072922,0.9767988078779528,0.2009672216355255,0.4392675991777459,0.4205173592973347,0.6862535962358507,0.6603618913047916,0.9797804531854184,0.9832418966184352,0.6111111789941788,0.513601390644908,R100,A75
54,SeuratV4,Graph,6924.0,,,0.9815009512090704,0.9811425577473876,0.2597828402198979,0.5452937678702177,0.4587705995658418,0.7311251876395586,0.6741477342308729,0.986440655441256,0.9882495948136144,,,R100,A75
55,uniPort-louvain,Embedding,6924.0,0.839493897535016,0.8905843827060688,0.8318389523679408,0.8651541076644979,0.3641352762597358,0.3451915759253263,0.4475364965543635,0.5553760500837666,0.5863001920409816,0.9450677470954332,0.9282927195823916,0.5020761908963323,0.4840501956641674,R100,A75
56,cobolt-louvain,Embedding,6924.0,0.786345262259786,0.8666629215104025,0.8401241256792242,0.8802426243496195,0.3345546441063455,0.3075037848425423,0.3462289662558268,0.5481866118579309,0.5572094352920689,0.95229639325449,0.9529498995162242,0.3699298799037933,0.5531568787992001,R10,A100
57,DCCA-louvain,Embedding,6924.0,0.8417200606102586,0.8897070051352425,0.8865285218406428,0.9136542619857198,0.3359828715878725,0.3240564359685657,0.3813657970315762,0.5216998423881881,0.5508221418349862,0.94125689619137,0.9284837801695328,0.5785799250006676,0.5960534140467644,R10,A100
58,MOFA2-louvain,Embedding,6924.0,0.8466304125656623,0.862022890063766,0.9314827596504957,0.9466683200643292,0.2824214770707083,0.4051329431290236,0.4334292066854957,0.6280272878660274,0.6258110595012089,0.9664735072974372,0.969493845100864,0.5372220352292061,0.5893408432602882,R10,A100
59,multigrate_batch-louvain,Embedding,6924.0,0.8549655178430888,0.9487192846860112,0.8184043082628863,0.8822106370951686,0.4516336887104075,0.3742857991622328,0.4550749264833847,0.5685829141958899,0.605599197077347,0.9458821062857966,0.9436660608111472,0.4341005310416221,0.4536567330360412,R10,A100
60,multigrate-louvain,Embedding,6924.0,0.8538538701468491,0.9252967299844364,0.8283269351091285,0.8996429188949038,0.4159186651584921,0.3725949289845154,0.4400677709263871,0.5701982259645668,0.5889261413979845,0.943918488155512,0.9344308824972444,0.4473503269255161,0.4834898002445698,R10,A100
61,multivi_batch-louvain,Embedding,6924.0,0.7708393430326153,0.868550176595993,0.8156068725107801,0.8906792706514405,0.3564556331559299,0.2954115792428238,0.3347279644241662,0.5409947377838079,0.5471874785324952,0.9369350496664084,0.9077660353422204,0.3738037645816803,0.5636385679244995,R10,A100
62,multivi-louvain,Embedding,6924.0,0.7623764620499354,0.8559250104002163,0.691401072315717,0.8560832738915096,0.379200792853841,0.2267470309597129,0.228357898122146,0.4824002937817506,0.4800248409168872,0.9254896655226944,0.8782667022791026,0.309400126338005,0.5542662851512432,R10,A100
63,scAI-louvain,Embedding,6924.0,0.9119974363801716,0.9187706558229536,0.7496593689210583,0.8644055501032535,0.3498011957651287,0.1758845483706958,0.2161672980669523,0.3129745725197559,0.3277301531503918,0.8796520299253797,0.8170677366592192,0.5848430693149567,0.5461838394403458,R10,A100
64,scDEC-louvain,Embedding,6924.0,0.8405391606547209,0.8930332777909677,0.8292230194632655,0.9107224729059668,0.3050565299038235,0.3608202915215469,0.4103979338121232,0.5085725737431867,0.5327443270149566,0.9389419760741508,0.910961395310781,0.4365212097764015,0.4775428790599108,R10,A100
65,scMDC-louvain,Embedding,6924.0,0.8918731027039605,0.9180778847972348,0.8279729842695448,0.8139459242475772,0.4187655711740099,0.4783737310579429,0.5421894262493049,0.649546860593873,0.6568359281236672,0.9586938275523748,0.947785072408017,0.1411163210868835,0.54761728271842,R10,A100
66,scMVAE-louvain,Embedding,6924.0,0.8882650893487537,0.8974169567506162,0.9444895496398008,0.9762463678759278,0.3135151129053857,0.3482206288710293,0.4014276227245995,0.533590273582162,0.560976634630172,0.9235853041142696,0.8861799821660499,0.6097922101616859,0.5859939828515053,R10,A100
67,scMVP-louvain,Embedding,6924.0,0.9328153132860886,0.9418035591134082,0.936267556640038,0.9555614173410784,0.3610287755828298,0.507478970337927,0.6163511015605404,0.6918702281287228,0.7171706151276861,0.9548302847455572,0.9511754508656894,0.4774978309869766,0.5013826250797138,R10,A100
