,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ADT
61,scMDC-louvain,Embedding,9026.0,0.8252975777260463,0.8222306061669359,0.8977564223298605,0.8147311241137544,0.1554262786512099,0.3816042898030876,0.3985477994300996,0.7103096987319852,0.6857259590805714,0.9912487324875292,0.9983697267723484,0.6275525887807211,0.6082749269902706,R100,A75
62,SeuratV4,Graph,9026.0,,,0.9297700003934052,0.9557352398133016,0.1504961728906011,0.4053579973386811,0.3768569235800262,0.6859104612913004,0.6545823073917456,0.987271686617877,0.9955776716873944,,,R100,A75
63,totalVI_batch-louvain,Embedding,9026.0,0.8872945577684332,0.920281321521086,0.9089386246068396,0.9251558213641712,0.403496290343497,0.6579837752279991,0.5923023532408841,0.7859803235873948,0.7470027504551082,0.9908330842586908,0.9964106556604696,0.528633842865626,0.5445111786946655,R100,A75
64,totalVI-louvain,Embedding,9026.0,0.8543623031144723,0.8245111203402907,0.8979278031170131,0.9194961164424856,0.1008797051972262,0.3868699206024203,0.3494872992323265,0.646107466446941,0.6289096031253397,0.9868099674426726,0.9936846962479684,0.5793944969773293,0.5420170979574322,R100,A75
65,bindSC-louvain,Embedding,9026.0,0.9201219160958608,0.9148792424963214,0.8816848058905743,0.9461866823471976,0.2519867401824499,0.4634934586510606,0.5181778225281937,0.6995805630957286,0.7171796106933184,0.982781789799866,0.992940760844598,0.5662108858426412,0.5582218304276466,R10,A100
66,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1355173986317236,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9609193873220054,0.8334580111622073,,,R10,A100
67,MaxFuse-louvain,Embedding,9026.0,0.9024402573742676,0.9060717433021648,0.8945015622129688,0.9460772708098514,0.3499057991441546,0.6935258757640895,0.6730892392405361,0.7119858969507549,0.7201581729237122,0.9780261359705656,0.9821683919607096,0.5263815053428212,0.5275236377317924,R10,A100
68,MOFA2-louvain,Embedding,9026.0,0.8425678354341852,0.8209134790997349,0.804427757927251,0.9246816179161184,0.12078371765655,0.3621067144879872,0.3472916735249491,0.6635180055325602,0.654753933672194,0.9876432879630992,0.9961973804197232,0.5902050075431665,0.5677920108195394,R10,A100
69,multigrate_batch-louvain,Embedding,9026.0,0.8425266262221291,0.905130834997618,0.8407302759111769,0.9143220591638606,0.4020094188840877,0.3999693485608411,0.4220338980876023,0.7231487119938186,0.693542299726329,0.990150882547427,0.997209672801773,0.5483712119360765,0.5988094646483659,R10,A100
70,multigrate-louvain,Embedding,9026.0,0.8415323934536095,0.8114096635986293,0.7473864940830561,0.8753413305655467,0.1534294084532115,0.3486997376772558,0.3171533136088882,0.6513218955000611,0.6265704828523134,0.986036686109626,0.9938642403630944,0.6324466466903687,0.5756772752851248,R10,A100
71,SCALEX-louvain,Embedding,9026.0,0.8453796763623818,0.8668988355060964,0.7683508607569937,0.9036485899994188,0.3152428140317932,0.4170921411188101,0.5587719595432672,0.6573019578864169,0.7109960712619493,0.9738127843975872,0.9882017062947356,0.508934366206328,0.5851661295630037,R10,A100
72,sciPENN_batch-louvain,Embedding,9026.0,0.9462724428467696,0.9732696104188452,0.3816124427580681,0.7268095935574268,0.5091286877873706,0.0938922230538194,0.1384830130129864,0.1479000529003757,0.166973451330842,0.8860418715627028,0.6589591307291585,0.4559605220953623,0.468200418818742,R10,A100
