,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s2d1,s3d6,Batch_ASW_site
10,scmomat-louvain,Embedding,21500.0,0.8041893934819906,0.8037167482214279,0.9147311979231296,0.0271831301657314,0.3228902781240963,0.3890241760059711,0.6218116666566964,0.6412076993544658,0.969314331085402,0.984594027548643,0.5166462430497631,0.5093516303692013,R25_A25,R100_A100,
11,scVAEIT-louvain,Embedding,21500.0,0.4336680137466077,0.6469690795233303,0.7586125809167746,2.220446049250313e-16,0.2552687869444157,0.2844123040505406,0.5884295581610686,0.5847338887588854,0.9782107287409056,0.995762141214374,0.5382173908874393,0.4835347797721624,R25_A25,R100_A100,
12,StabMap-louvain,Embedding,21500.0,0.8489171800147668,0.8854433308625747,0.9048644652366798,0.5444985082730103,0.402347108657667,0.4565438673177607,0.6851003558572253,0.680680778457091,0.9830042616368734,0.9957497452532792,0.4801440870505757,0.5571083721704781,R25_A25,R100_A100,
13,totalVI-louvain,Embedding,21500.0,0.8996528431232902,0.9145393943101936,0.9222556832796762,0.7323560277665879,0.5558611008010039,0.5948217059188214,0.7330446016721051,0.7412520460157845,0.98241200125072,0.9921428355130384,0.4929274606984108,0.541488067060709,R25_A25,R100_A100,
14,MIDAS-louvain,Embedding,21500.0,0.8387753986835227,0.956199783946892,0.9355326354750816,0.1403190761534154,0.5046307536270669,0.5109869019429886,0.7291087855922389,0.723673603768453,0.9902417558602564,0.99809766882818,0.559679937956389,0.5617560111684725,R50_A50,R100_A100,
15,multigrate-louvain,Embedding,21500.0,0.5674879575737063,0.784804126116624,0.8312910383000821,2.220446049250313e-16,0.3669051331495252,0.3208158613806303,0.690891008148198,0.6493804263556638,0.9907615304564708,0.9994094503065264,0.6049063223181292,0.5978672313387505,R50_A50,R100_A100,
16,sciPENN-louvain,Embedding,21500.0,0.8877532921293079,0.8908153636312008,0.9292792423000196,0.6541403340497847,0.4431445538689098,0.4289081406108743,0.7264538124237413,0.696922599857079,0.989708007947291,0.9987890087207996,0.4319102498702705,0.619222192466259,R50_A50,R100_A100,
17,scmomat-louvain,Embedding,21500.0,0.7423858846236505,0.8527729114849569,0.906448435968658,0.0145732960418092,0.4523406493540107,0.4858504522403488,0.6590618235852373,0.6700449255465467,0.970314104853876,0.9841008918197924,0.5378921953379177,0.5106412007007748,R50_A50,R100_A100,
18,scVAEIT-louvain,Embedding,21500.0,0.5141226620241574,0.6341181939575108,0.7158824823250843,4.440892098500626e-16,0.2563109978313975,0.3067514540804137,0.5937093085239692,0.602358355917269,0.976635815255564,0.9948213519815045,0.559063384309411,0.5126616885885596,R50_A50,R100_A100,
19,StabMap-louvain,Embedding,21500.0,0.8679959857309685,0.9048408225844042,0.927302636956945,0.5862814674688062,0.5243626113449159,0.5528156824773727,0.7284706702420278,0.7248426977293608,0.9858084725016028,0.9964121705105506,0.4702450360928196,0.5628638616297394,R50_A50,R100_A100,
20,totalVI-louvain,Embedding,21500.0,0.9212176629673458,0.9353447655829784,0.9409794558111368,0.7547264386754071,0.5119075597908025,0.5694329364499361,0.7455171266485724,0.7480205946776478,0.9863306356877504,0.9942551185547168,0.508686164394021,0.5455716806463897,R50_A50,R100_A100,
21,MIDAS-louvain,Embedding,21500.0,0.8488364702105877,0.957859725607048,0.9496624773234338,0.1615648158220932,0.5235996292980454,0.5257385040702823,0.7328236328077331,0.7275111820967776,0.9896495909514278,0.9977310873974332,0.5548766159918159,0.567046880023554,R75_A75,R100_A100,
22,multigrate-louvain,Embedding,21500.0,0.6476709416001346,0.787642690161397,0.8084446420418205,2.220446049250313e-16,0.3492136244518515,0.3257694586389148,0.6916402662115854,0.6604349836563218,0.9925045080280614,0.999480414650762,0.6346401264891028,0.5820661330595612,R75_A75,R100_A100,
