,method,Output,nCell,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ADT,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ADT,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ADT,s2d1,s3d6
11,multigrate-louvain,Embedding,10465.0,0.1237409890634926,0.0009555661729574,0.0007644529383659,0.0011466794075489,0.5006211180124224,0.5717152412804587,0.429526994744386,0.757907310081223,0.8169135212613473,0.6989010989010989,R50_A50,R100_A100
12,scmomat-louvain,Embedding,10465.0,0.2293862347793671,0.0013377926421404,0.0007644529383659,0.0019111323459149,0.4987099856665073,0.4031533683707596,0.5942666029622551,0.7029622551361682,0.5762064022933588,0.8297181079789775,R50_A50,R100_A100
13,scVAEIT-louvain,Embedding,10465.0,0.2036323065372277,0.0003344481605351,0.0002866698518872,0.0003822264691829,0.205685618729097,0.1983755375059722,0.2129956999522217,0.4792642140468227,0.3376015289058767,0.6209268991877688,R50_A50,R100_A100
14,StabMap-louvain,Embedding,10465.0,0.0778565504791641,0.0045867176301958,0.0048733874820831,0.0043000477783086,0.6802675585284281,0.6926899187768752,0.6678451982799809,0.9082656473960822,0.9046344959388438,0.9118967988533206,R50_A50,R100_A100
15,MIDAS-louvain,Embedding,10465.0,0.0473231888699596,0.0095556617295747,0.0096512183468705,0.009460105112279,0.7292403248924988,0.729574773053034,0.7289058767319637,0.9105112279025322,0.9065456282847588,0.9144768275203058,R75_A75,R100_A100
16,multigrate-louvain,Embedding,10465.0,0.122753286099845,0.0010033444816053,0.0010511227902532,0.0009555661729574,0.4870043000477783,0.5193502150023889,0.4546583850931677,0.7365504061156236,0.7944577161968467,0.6786430960344004,R75_A75,R100_A100
17,scmomat-louvain,Embedding,10465.0,0.2106678165723846,0.0008600095556617,0.0006688963210702,0.0010511227902532,0.4597228858098423,0.3628284758719541,0.5566172957477306,0.6743430482560917,0.5843287147634973,0.7643573817486861,R75_A75,R100_A100
18,scVAEIT-louvain,Embedding,10465.0,0.2521891664910838,0.0004777830864787,0.0005733397037744,0.0003822264691829,0.4339703774486383,0.3680840898232203,0.4998566650740564,0.5752986144290492,0.4516961299569995,0.6989010989010989,R75_A75,R100_A100
19,StabMap-louvain,Embedding,10465.0,0.0680484603993609,0.0057811753463927,0.0055422838031533,0.0060200668896321,0.6973721930243669,0.7108456760630674,0.6838987099856665,0.9276158623984712,0.925752508361204,0.9294792164357382,R75_A75,R100_A100
20,MIDAS-louvain,Embedding,10465.0,0.0477546546185279,0.0091256569517439,0.009842331581462,0.0084089823220258,0.7420926899187769,0.7397037744863831,0.7444816053511706,0.9258480649784996,0.9199235547061634,0.931772575250836,R100_A100,R100_A100
21,multigrate-louvain,Embedding,10465.0,0.1025510329633805,0.001098901098901,0.0005733397037744,0.0016244624940277,0.5605828953655041,0.4953655040611562,0.6258002866698519,0.8282369804108934,0.7555661729574773,0.9009077878643096,R100_A100,R100_A100
22,MIDAS-louvain,Embedding,10465.0,0.078237261191207,0.0039178213091256,0.0035355948399426,0.0043000477783086,0.684089823220258,0.675776397515528,0.6924032489249881,0.8868609651218347,0.8801720019111323,0.893549928332537,R100_A100,R10_A10
23,multigrate-louvain,Embedding,10465.0,0.1892739272194599,0.0003822264691829,0.0003822264691829,0.0003822264691829,0.3304825609173435,0.4690874343048256,0.1918776875298614,0.5326803631151458,0.6151935021500239,0.4501672240802675,R100_A100,R10_A10
24,scmomat-louvain,Embedding,10465.0,0.3859695949161871,0.0003344481605351,0.0,0.0006688963210702,0.1763019589106545,0.1345437171524128,0.2180602006688963,0.309077878643096,0.2444338270425227,0.3737219302436694,R100_A100,R10_A10
25,scVAEIT-louvain,Embedding,10465.0,0.3226088919701168,0.0003822264691829,0.0002866698518872,0.0004777830864787,0.4447682752030578,0.3635929288103201,0.5259436215957956,0.5898232202580028,0.4466316292403249,0.7330148112756808,R100_A100,R10_A10
26,StabMap-louvain,Embedding,10465.0,0.1083975410949382,0.0027233635929288,0.0030578117534639,0.0023889154323936,0.6400860009555662,0.6244624940277114,0.655709507883421,0.8848064978499761,0.8814142379359771,0.8881987577639752,R100_A100,R10_A10
27,MIDAS-louvain,Embedding,10465.0,0.068399869517051,0.0062589584328714,0.0066889632107023,0.0058289536550406,0.6994266602962256,0.6934543717152413,0.7053989488772098,0.8978021978021977,0.8937410415671285,0.901863354037267,R100_A100,R25_A25
