,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s2d1,s3d6,Batch_ASW_site
34,scmomat-louvain,Embedding,31965.0,0.8720884900500584,0.7684495635829796,0.9133764466177814,0.2758597423810192,0.3903194565949335,0.4371350918528646,0.6213150259541063,0.6509273505663942,0.9741021014305012,0.9864285130868052,0.5082856845110655,0.5145488205074799,R100_A100,R50_A50,0.8598086110452284
35,scVAEIT-louvain,Embedding,31965.0,0.5066572526050702,0.533924949129463,0.7334304654695446,2.220446049250313e-16,0.2705115586012286,0.29262711338898,0.5714192036311866,0.5922824559113454,0.9744489295793298,0.9955385116702398,0.5849089249968529,0.526384276850149,R100_A100,R50_A50,0.5066572526050702
36,StabMap-louvain,Embedding,31965.0,0.8169861123061054,0.9059760216856884,0.916459563742134,0.3418064606095594,0.431658562433823,0.4780557258300005,0.7023253848995755,0.7128133470944675,0.9863856259023434,0.9979983722974264,0.4436626993119716,0.5679013773798942,R100_A100,R50_A50,0.8264717891121488
37,MIDAS-louvain,Embedding,31965.0,0.9410583812483116,0.9500003995111864,0.9420843928470464,0.6189168526239046,0.6086990596865531,0.6017044199580373,0.7511044137410686,0.7558838807053573,0.989315644809548,0.9983369178643288,0.535093180835247,0.5629214751534164,R100_A100,R75_A75,
38,multigrate-louvain,Embedding,31965.0,0.5378056422865828,0.5321197789149432,0.6442307398055792,0.0,0.3415089218599049,0.2983372924013813,0.6486515077493684,0.6216216211064233,0.9902464434534836,0.9988141730496948,0.6113213747739792,0.5573349066078663,R100_A100,R75_A75,0.5198902748384823
39,scmomat-louvain,Embedding,31965.0,0.8697065230670984,0.7503478023616511,0.9196348572251832,0.2433221123690502,0.4016777055855832,0.4143345160483037,0.6312645209517321,0.6342893257589498,0.9748938636851354,0.9912686224634945,0.5288708675652742,0.5122662239475175,R100_A100,R75_A75,0.8709366162427403
40,scVAEIT-louvain,Embedding,31965.0,0.6083953710833437,0.5720187629849354,0.7960049119425616,0.0006261516779964,0.251242471020969,0.2776145085833121,0.5814173723744822,0.601886102244652,0.9759788464941984,0.9968506233208208,0.5956993699073792,0.5569939811713993,R100_A100,R75_A75,0.5739373188789385
41,StabMap-louvain,Embedding,31965.0,0.8471967200307104,0.9033491170208456,0.9200619942566458,0.3423739381162071,0.4332449722047817,0.4466565309346244,0.708181724165741,0.7011171402404082,0.9867352617571944,0.9981918470100316,0.4597925916314125,0.5757200878113509,R100_A100,R75_A75,0.8399632657631838
42,scmomat-louvain,Embedding,31965.0,0.8850304538528829,0.8434131250328426,0.9145891659081358,0.2338592973651757,0.4242756520441908,0.4689007624214064,0.6482727393608108,0.669239131562165,0.9751665242190872,0.9903501117773548,0.5307401195168495,0.5196627329452894,R100_A100,R100_A100,0.8832688021493545
43,scVAEIT-louvain,Embedding,31965.0,0.5358534890714869,0.5930425894221222,0.847797116279492,2.220446049250313e-16,0.2601963145702791,0.2726811948881068,0.5971227446401318,0.5998674544980046,0.9787683238957862,0.9977114222864524,0.5761646553874016,0.5502213843166828,R100_A100,R100_A100,0.4617471477367974
44,StabMap-louvain,Embedding,31965.0,0.8569217982490676,0.9141257381256986,0.9303209987557368,0.3347462936423063,0.4427093522517306,0.4739395595556482,0.7219305495898617,0.7246504650059794,0.9878703922967208,0.9984577467796514,0.4712847638875246,0.5765443675685674,R100_A100,R100_A100,0.8489614599244065
45,SeuratV5,Embedding,31965.0,0.6645437918296144,0.5360042284966032,0.6248797669122849,0.0427963143511502,0.3067042342423711,0.2868670929835626,0.5997713271338341,0.5825738698693838,0.9853407485099632,0.994815841143656,0.8262653052806854,0.4638227069750428,R10_A10,R100_A100,0.2789718135189042
46,SeuratV5,Embedding,31965.0,0.7018995795889433,0.5935874179632992,0.6384056752367544,0.0316157392731113,0.3247969469726505,0.2875876650100691,0.6442060714138044,0.6127084271845309,0.9898426685833824,0.9983561351128653,0.8399812579154968,0.4743233466520905,R25_A25,R100_A100,0.1131664903210863
47,SeuratV5,Embedding,31965.0,0.6451256417818968,0.6109894578312001,0.6637386362816623,0.0187734170766417,0.285825203021181,0.2512991023655472,0.6538256745851437,0.6149558983814484,0.9926591240503932,0.9985306543474668,0.8422181308269501,0.4793064909958048,R50_A50,R100_A100,0.064200199286831
48,SeuratV5,Embedding,31965.0,0.6929941097533251,0.6161135563073165,0.6359534877282551,0.0128685198886079,0.3201118073027666,0.2674398474965396,0.6675328941649333,0.6234959774778212,0.9939469098293184,0.9991405150248176,0.859284371137619,0.4816511909943074,R75_A75,R100_A100,0.0386699139762395
49,SeuratV5,Embedding,31965.0,0.6979046399703775,0.6308514171342429,0.6486879286521737,0.0078615968056001,0.3041902732485316,0.2594181651654643,0.6742014550987206,0.6265276416655535,0.9950776101992694,0.9992180642838198,0.865325927734375,0.485093697393313,R100_A100,R100_A100,0.0719624376029111
50,SeuratV5,Embedding,31965.0,0.5982615856028269,0.5557749425264253,0.6785240341805414,0.0018913459518087,0.2800871351937706,0.2355158291971874,0.6111517694031443,0.578479936163643,0.9911283491844878,0.9980905401826504,0.7996659874916077,0.4799444786738604,R100_A100,R10_A10,0.1300694585492516
51,SeuratV5,Embedding,31965.0,0.6297163496080194,0.5970425173883093,0.6298841874422565,0.0040456300837975,0.3042567531067047,0.2589456455439884,0.654832353058814,0.6136038866633352,0.99422855062967,0.998625657827287,0.8212152719497681,0.4824819686356932,R100_A100,R25_A25,0.0974993659149824
52,SeuratV5,Embedding,31965.0,0.6585058777719244,0.6100393656584304,0.6303513608295199,0.0108562941232511,0.3205250726783908,0.2623013572620994,0.675562252839147,0.6226567909060174,0.9947668013203548,0.9989562679499904,0.8506917655467987,0.4844860587734729,R100_A100,R50_A50,0.1180085888149957
53,SeuratV5,Embedding,31965.0,0.6577529803840755,0.6356463674657566,0.682503113593935,0.0081408113685889,0.2812948355367375,0.2373344096478224,0.6685201353321493,0.6186921614395426,0.9948742077276874,0.999123954345394,0.8590701222419739,0.484637982735876,R100_A100,R75_A75,0.0921938009694369
