V1	label	time	mem	GPU	data_size
Seurat v4 RPCA	c500	01:01.2	1.832GB	NA	500
Seurat v4 RPCA	c1k	01:45.6	2.278GB	NA	1000
Seurat v4 RPCA	c5k	04:36.5	5.91GB	NA	5000
Seurat v4 RPCA	c10k	10:18.2	10.813GB	NA	10000
Seurat v4 RPCA	c50k	54:03.6	52.734GB	NA	50000
Seurat v4 RPCA	c100k	04:12:40	134.992GB	NA	1e+05
Seurat v4 RPCA	c500k	NA	NA	NA	5e+05
SIMBA	c500	17:17.3	1.388GB	NA	500
SIMBA	c1k	20:00.4	2.263GB	NA	1000
SIMBA	c5k	22:49.6	4.416GB	NA	5000
SIMBA	c10k	27:17.1	9.683GB	NA	10000
SIMBA	c50k	01:19:44	55.222GB	NA	50000
SIMBA	c100k	06:34:11	187.696GB	NA	1e+05
SIMBA	c500k	NA	NA	NA	5e+05
unionCom	c500	01:28.7	6.628GB	1727MB	500
unionCom	c1k	02:10.9	8.115GB	1807MB	1000
unionCom	c5k	27:25.3	20.796GB	3373MB	5000
unionCom	c10k	01:43:16	38.633GB	8187MB	10000
unionCom	c50k	NA	NA		50000
unionCom	c100k	NA	NA		1e+05
unionCom	c500k	NA	NA		5e+05
uniPort	c500	09:36.8	5.135GB	1743MB	500
uniPort	c1k	23:27.7	5.31GB	1789MB	1000
uniPort	c5k	24:54.1	6.378GB	1827MB	5000
uniPort	c10k	22:01.7	7.548GB	1829MB	10000
uniPort	c50k	00:21:39	24.549GB	1829MB	50000
uniPort	c100k	00:27:32	47.854GB	1868MB	1e+05
uniPort	c500k	NA	NA		5e+05
