,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
25,DCCA-louvain,Embedding,6781.0,,,0.974038616243444,0.9749480654208156,,0.5606131396883378,0.4400221437577063,0.772632496382655,0.6950899093121431,0.9930623377297032,0.998383576686752,0.6037834965668264,0.6187650124645896
26,MOFA2-louvain,Embedding,6781.0,,,0.9763370963813538,0.9874300483714068,,0.5133345856693818,0.4146147621384351,0.751998623574404,0.6966835598973171,0.9850759016002562,0.9980124202613908,0.5887257564546806,0.6139201530151897
27,multigrate-louvain,Embedding,6781.0,,,0.979576881692336,0.974091505160934,,0.5612606528516312,0.4412946601312251,0.790612234842973,0.7060047562899059,0.990297436367502,0.9996214965857096,0.6216248921399321,0.6475140170918571
28,multivi-louvain,Embedding,6781.0,,,0.9720726573312704,0.9799615531766512,,0.4912752652948455,0.3963014634954214,0.75966120096911,0.6856836935266043,0.9889057842199778,0.9998016359438716,0.6189839801019323,0.6523309134774737
29,scAI-louvain,Embedding,6781.0,,,0.99360545150624,0.9758287073739428,,0.6676962101296147,0.530230424963715,0.838691198613205,0.751528646057211,0.99644496833894,0.999834482353602,0.6488363237475001,0.6014011341871487
30,scDEC-louvain,Embedding,6781.0,,,0.9726125277378662,0.9838589424483088,,0.3385556605733142,0.4363521134556867,0.5334565959200224,0.5719995611488795,0.9169334274424926,0.8919523532683763,0.4806514088607703,0.5171687621105876
31,scMDC-louvain,Embedding,6781.0,,,0.9932292653570616,0.9953902142856176,,0.6693426723219627,0.5196479467805704,0.8378711241531136,0.7473362587690717,0.9964267963815712,0.999535835285862,0.6155539969691918,0.6166889158387979
32,scMVAE-louvain,Embedding,6781.0,,,0.9940510888143828,0.9965140489183196,,0.5490639000591427,0.486291392904705,0.7709631507710499,0.7207426895704405,0.9827234555937606,0.9906110837890032,0.5558523168077781,0.5483338435490926
33,scMVP-louvain,Embedding,6781.0,,,0.9930268287043048,0.9927816495784804,,0.6772318641485343,0.5613729754555419,0.8302642070963164,0.7542880077864502,0.9957924080288478,0.9994911958519676,,
34,SeuratV4,Graph,6781.0,,,0.992803491636594,0.9867935254223578,,0.6917141760235148,0.523472927790218,0.8486169707624578,0.7432676648031429,0.9957589352773412,0.9999999999999994,,
35,uniProt-louvain,Embedding,6781.0,,,0.9695764076997958,0.9884772193186154,,0.6010383111213036,0.5878832953189294,0.781189249625599,0.7591190105046466,0.9820855429294352,0.9973971882784912,0.5821291860193014,0.6313091508216329
36,cobolt-louvain,Embedding,6781.0,,,0.96886225237041,0.978680261759985,,0.5276571703993518,0.4893455477586404,0.7605208958288544,0.7224142714089802,0.9804863084855618,0.9994953138530036,0.5875121548417068,0.6343623461822668
37,DCCA-louvain,Embedding,6781.0,,,0.9670589940312152,0.9736803751273936,,0.6323651822155534,0.5204443731485113,0.7981076423549545,0.7305087150125747,0.992167555020334,0.9985284878534236,0.6040734988415525,0.6090101011925273
38,MOFA2-louvain,Embedding,6781.0,,,0.9763370963813538,0.9874300483714068,,0.5133345856693818,0.4146147621384351,0.751998623574404,0.6966835598973171,0.9850759016002562,0.9980124202613908,0.5887257564546806,0.6139201530151897
39,multigrate-louvain,Embedding,6781.0,,,0.979576881692336,0.974091505160934,,0.5612606528516312,0.4412946601312251,0.790612234842973,0.7060047562899059,0.990297436367502,0.9996214965857096,0.6216248921399321,0.6475140170918571
40,multivi-louvain,Embedding,6781.0,,,0.9720726573312704,0.9799615531766512,,0.4912752652948455,0.3963014634954214,0.75966120096911,0.6856836935266043,0.9889057842199778,0.9998016359438716,0.6189839801019323,0.6523309134774737
41,scAI-louvain,Embedding,6781.0,,,0.99360545150624,0.9758287073739428,,0.6676962101296147,0.530230424963715,0.838691198613205,0.751528646057211,0.99644496833894,0.999834482353602,0.6488363237475001,0.6014011341871487
42,scDEC-louvain,Embedding,6781.0,,,0.9491274801482908,0.9747030623186924,,0.3596310365265532,0.3277071285333782,0.5081235820960373,0.4795510811776413,0.891323730435821,0.8643010446771362,0.494859674391115,0.5175182678633266
43,scMDC-louvain,Embedding,6781.0,,,0.9963230610627534,0.9965218920437608,,0.6687585779404449,0.5346067421044349,0.8372685711958888,0.7564133859799353,0.9942510843673974,0.999575566732551,0.6213359864694732,0.627938051488147
44,scMVAE-louvain,Embedding,6781.0,,,0.9837392202136626,0.9953742485129132,,0.5192162202780272,0.4740288714571516,0.7564906169475166,0.7184288384575676,0.9827193141677912,0.9906108279555418,0.5585636839802776,0.5441986323825808
45,scMVP-louvain,Embedding,6781.0,,,0.9930996298435536,0.9926021599591398,,0.6939308589928936,0.5494331138415544,0.8459652598949492,0.7589299554965425,0.9955440927128454,0.9992575432429404,,
46,SeuratV4,Graph,6781.0,,,0.992803491636594,0.9867935254223578,,0.6917141760235148,0.523472927790218,0.8486169707624578,0.7432676648031429,0.9957589352773412,0.9999999999999994,,
47,uniProt-louvain,Embedding,6781.0,,,0.9695764076997958,0.9884772193186154,,0.6010383111213036,0.5878832953189294,0.781189249625599,0.7591190105046466,0.9820855429294352,0.9973971882784912,0.5821291860193014,0.6313091508216329
48,cobolt-louvain,Embedding,6781.0,,,0.961347535770292,0.9770432557936436,,0.5349019275436449,0.4628131694007796,0.7338718498331964,0.6819554991728342,0.9784723256189216,0.9988052470564732,0.5744694778972882,0.6331074519289864
49,DCCA-louvain,Embedding,6781.0,,,0.965788217241334,0.9911071755865908,,0.627320111779422,0.5016456491805052,0.79233157280691,0.7164154201572864,0.992892922806322,0.9984249466974294,0.6073955795949414,0.6085783510158459
50,MOFA2-louvain,Embedding,6781.0,,,0.9763370963813538,0.9874300483714068,,0.5133345856693818,0.4146147621384351,0.751998623574404,0.6966835598973171,0.9850759016002562,0.9980124202613908,0.5887257564546806,0.6139201530151897
51,multigrate-louvain,Embedding,6781.0,,,0.979576881692336,0.974091505160934,,0.5612606528516312,0.4412946601312251,0.790612234842973,0.7060047562899059,0.990297436367502,0.9996214965857096,0.6216248921399321,0.6475140170918571
52,multivi-louvain,Embedding,6781.0,,,0.9720726573312704,0.9799615531766512,,0.4912752652948455,0.3963014634954214,0.75966120096911,0.6856836935266043,0.9889057842199778,0.9998016359438716,0.6189839801019323,0.6523309134774737
53,scAI-louvain,Embedding,6781.0,,,0.99360545150624,0.9758287073739428,,0.6676962101296147,0.530230424963715,0.838691198613205,0.751528646057211,0.99644496833894,0.999834482353602,0.6488363237475001,0.6014011341871487
54,scDEC-louvain,Embedding,6781.0,,,0.9697801446486988,0.9932172644381968,,0.2994506067791639,0.3793339862340952,0.4900732184724188,0.5197899880817292,0.887492233254763,0.8515356856119287,0.4896825230236919,0.5240536057907674
55,scMDC-louvain,Embedding,6781.0,,,0.9933940900789704,0.994837061313064,,0.8111989861318925,0.6575233922177484,0.8467580694100081,0.7647997763948063,0.9941790407139818,0.9995129446500928,0.6140597047882953,0.6253346355838908
56,scMVAE-louvain,Embedding,6781.0,,,0.9955036769840008,0.9960443574063864,,0.5218951912774046,0.4766874980801499,0.7576408332039991,0.7093524584719413,0.9823232114898036,0.9884900542953052,0.5557072858570055,0.5487627546406455
57,scMVP-louvain,Embedding,6781.0,,,0.9910096327257928,0.9912970626597144,,0.6722525993922184,0.5369187952458704,0.8367184810894414,0.7459291780830865,0.9943999399556164,0.9993580502421506,,
58,SeuratV4,Graph,6781.0,,,0.992803491636594,0.9867935254223578,,0.6917141760235148,0.523472927790218,0.8486169707624578,0.7432676648031429,0.9957589352773412,0.9999999999999994,,
59,uniProt-louvain,Embedding,6781.0,,,0.9695764076997958,0.9884772193186154,,0.6010383111213036,0.5878832953189294,0.781189249625599,0.7591190105046466,0.9820855429294352,0.9973971882784912,0.5821291860193014,0.6313091508216329
