,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
14,cobolt-louvain,Embedding,6924.0,0.8152466008843572,0.8679999066228082,0.9032751693221368,0.9583835638643664,0.3009137739591757,0.3943873566286557,0.4371039633066318,0.62293580575855,0.625068596959747,0.9611365263380982,0.965814755472714,0.4513651393353939,0.6252952963113785
15,DCCA-louvain,Embedding,6924.0,0.814299667250813,0.8304461177568742,0.9366188755448256,0.976556272624192,0.2350955121883941,0.4345045821114555,0.4294279491651758,0.6436957132810719,0.63062345205198,0.9699284552486556,0.975248674206896,0.6108826473355293,0.616370402276516
16,MOFA2-louvain,Embedding,6924.0,0.8401746180196238,0.840249452407896,0.9038380084117472,0.9412583029865816,0.2588556325787103,0.3237679907368578,0.3863754050579429,0.5762218370563142,0.5936791138838992,0.9555238336430346,0.967902051005734,0.7130801230669022,0.5376284122467041
17,multigrate_batch-louvain,Embedding,6924.0,0.8387872990538713,0.9306779241363758,0.9210250570258524,0.9348027158131924,0.4443029298306327,0.5063265836542986,0.4541368259236495,0.6991753931447363,0.6673001659763556,0.9815211597994298,0.9841322434311044,0.4110868126153946,0.4446485601365566
18,multigrate-louvain,Embedding,6924.0,0.8242098282502668,0.9275149773287866,0.9239642083671592,0.9612144685599135,0.4402178897551616,0.4346066471156207,0.4274921493039039,0.663291877893211,0.6453625320242334,0.976337214408153,0.9808919509849924,0.3998587727546692,0.4577630050480366
19,multivi_batch-louvain,Embedding,6924.0,0.8207438147102883,0.8758112992059689,0.9298439456925388,0.9405145607043544,0.3090858299878643,0.3558108992089849,0.3744459538603342,0.6121454550759604,0.6052759837067502,0.9593400398392056,0.955579521531711,0.5274028219282627,0.600578673183918
20,multivi-louvain,Embedding,6924.0,0.7940634173611237,0.852124130030187,0.9223581661100048,0.9423438565961224,0.2633080748215426,0.3406728759538858,0.3548302959151757,0.581227552634747,0.575307776132663,0.9564638964556542,0.947654228876277,0.6049966365098953,0.6268045157194138
21,scAI-louvain,Embedding,6924.0,0.8654111289098498,0.8504731764568331,0.9510302719938268,0.9736493895161968,0.1945282967062543,0.4694730322365988,0.4162504152269177,0.6814256559119204,0.6424385394437769,0.9773838241181432,0.9800144845749648,0.6631995588541031,0.5547776333987713
22,scDEC-louvain,Embedding,6924.0,0.9101669967868796,0.9450199351451408,0.7835254054888907,0.8566773778691412,0.3161520653489654,0.3183996298971168,0.381650044835196,0.4287260126141494,0.450818329806079,0.8714603925317438,0.8030967792568341,0.4048088192939758,0.6510184854269028
23,scMDC-louvain,Embedding,6924.0,0.8867609474966217,0.9110812416622028,0.9130164406746905,0.9281782357428996,0.2628418581169316,0.5811036118734568,0.537612571523854,0.7246807317609198,0.6862709770642925,0.984367722548251,0.9864270985515444,0.27682726085186,0.5121900578960776
