,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s1d1,s3d10
14,scmomat-louvain,Embedding,19786.0,0.8248688758698003,0.8227320578674022,0.8928741981744666,0.95161378110454,0.0902316489106924,0.3409574494050809,0.3261625840610112,0.5667135189250089,0.5435820951991134,0.971749541083375,0.9826733875426724,0.6034755632281303,0.5339524351681272,R50_A50,R100_A100
15,cobolt-louvain,Embedding,19786.0,0.8654875548685086,0.8071400550890326,0.974842802944502,0.9781576517258824,0.3007213965680647,0.4963258286473211,0.493197039435857,0.7212882186721189,0.6935960391627329,0.983812084168599,0.9958414164591282,0.6643131524324417,0.6009180498464654,R75_A75,R100_A100
16,MIDAS-louvain,Embedding,19786.0,0.9386152173084468,0.9404358637262452,0.9843221615489772,0.9837467636921432,0.6672001111731616,0.5545254208870486,0.4974849217311454,0.7239672641709801,0.6845986365154264,0.98193972458336,0.9892395239506144,0.6663104444742203,0.5502015073887176,R75_A75,R100_A100
17,multigrate-louvain,Embedding,19786.0,0.6403613876038929,0.6421178430570449,0.7487989849277658,0.8010104272067864,2.220446049250313e-16,0.3356031204973239,0.2840813350910978,0.6448730033300552,0.6073418984431636,0.9884063735785752,0.9967806010460174,0.6784140020608902,0.587277398030791,R75_A75,R100_A100
18,multivi-louvain,Embedding,19786.0,0.9172572846137176,0.922275854363742,0.982572550194506,0.9820411434962212,0.5561739213686487,0.6272009907339043,0.5148325727273507,0.7808904636172612,0.706119744108822,0.991860859232398,0.9958387291309346,0.74055415391922,0.5939982948928244,R75_A75,R100_A100
19,scmomat-louvain,Embedding,19786.0,0.8389431033618513,0.8154644287665828,0.944029394386372,0.974434566813518,0.1728887675423233,0.3481810457094336,0.3247230935139187,0.5967675966107686,0.5793977877789045,0.9739238117633612,0.9843937460572048,0.6093826144933701,0.5379604484058089,R75_A75,R100_A100
20,cobolt-louvain,Embedding,19786.0,0.8117036096775456,0.7993208010441619,0.980602687970698,0.9841492679551102,0.2346859896998149,0.5163902595492756,0.4729186096486881,0.7356846429161252,0.6923527791293262,0.9861500764349216,0.995187888860674,0.6642965972423553,0.5977297431737598,R100_A100,R100_A100
21,MIDAS-louvain,Embedding,19786.0,0.9390122153584468,,0.9841762099042104,0.9825468012622128,0.6823096933414896,0.5778585618275903,0.5088506656364222,0.7312392702574874,0.6819983871226555,0.9826289625164976,0.9894205355837106,0.6472527831792831,0.5519972465052787,R100_A100,R100_A100
22,multigrate-louvain,Embedding,19786.0,0.5990896197324919,0.5990896197324919,0.6570246741324663,0.7065477812293208,1.1102230246251563e-16,0.3228374371669267,0.311548963341327,0.6222207900253027,0.6098694045201086,0.9882357115416984,0.9977974743435524,0.6504009366035461,0.5736306695034727,R100_A100,R100_A100
23,multivi-louvain,Embedding,19786.0,0.9029028748863276,0.9045062275156496,0.9839230679176888,0.9850267122344636,0.5144497346424486,0.5943877519597388,0.5210457716660073,0.7864622537630861,0.726755842951884,0.9923343383614868,0.9971144161645562,0.7242106050252914,0.6005159635096788,R100_A100,R100_A100
