,method,Output,nCell,Batch_ASW_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,AMI-RNA,graph_cLISI-RNA,isolated_labels_ASW-RNA,Batch_ASW_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,AMI-ATAC,graph_cLISI-ATAC,isolated_labels_ASW-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,c5k_1,c5k_2
29,multigrate-louvain,Embedding,5000.0,,0.8248128575889844,1.0,,0.2772409277474221,0.4909018106702401,0.9453128620107312,0.5112574918060655,,0.5475849693735951,1.0,,0.1905224838068432,0.3159474641315764,0.8959515585950503,0.4579046504440789,0.1928371199999999,0.0010999999999999,0.0012,0.001,0.3138999999999999,0.3378,0.29,R50_A50,R100_A100
30,multivi-louvain,Embedding,5000.0,,0.859537587443332,1.0,,0.4089744231941716,0.5604155344164267,0.953103392153016,0.5247805580431271,,0.7306557417598287,1.0,,0.2376676683858565,0.4146306814028476,0.9272291916152526,0.4831285577837326,0.0852288599999999,0.011,0.0102,0.0118,0.5248999999999999,0.5286,0.5212,R50_A50,R100_A100
31,scmomat-louvain,Embedding,5000.0,,0.779953443917125,1.0,,0.1726778749734773,0.3206145873810609,0.8996380259099425,0.4776874907514636,,0.7139762105212499,1.0,,0.1606928572838448,0.3130849735843279,0.9058782770396936,0.4662487272807361,0.22613762,0.0046,0.0038,0.0054,0.3702,0.3616,0.3788,R50_A50,R100_A100
32,cobolt-louvain,Embedding,5000.0,,0.859434753257015,1.0,,0.3990962590229813,0.565147747892134,0.9619768317032552,0.5408226374570119,,0.8218336677414845,1.0,,0.3330954516026584,0.4744803995610904,0.9466461572026006,0.5047547463910039,0.0403835,0.0171,0.0152,0.019,0.5811999999999999,0.6088,0.5536,R75_A75,R100_A100
33,multigrate-louvain,Embedding,5000.0,,0.8432956820450136,1.0,,0.3494486896365137,0.5296342774814716,0.9508537839584428,0.5154653548468573,,0.60137732067792,1.0,,0.1988727112886253,0.3466366931459465,0.9111143657479296,0.4612493733217844,0.17518716,0.0015,0.0018,0.0012,0.3339,0.4052,0.2626,R75_A75,R100_A100
34,multivi-louvain,Embedding,5000.0,,0.8836949463141298,1.0,,0.4239639291535337,0.5836992448176386,0.9550924698747147,0.5510414792684148,,0.7633621398741518,1.0,,0.298757647149633,0.4386420491208952,0.9346003749144582,0.4884611614509612,0.07248304,0.0142,0.015,0.0134,0.5792999999999999,0.591,0.5676,R75_A75,R100_A100
35,scmomat-louvain,Embedding,5000.0,,0.760505224549663,1.0,,0.1955185614109266,0.3699521528862655,0.911075400489498,0.4757558432769683,,0.7376961646692392,1.0,,0.1747561951702548,0.3326366922621123,0.9081543309022654,0.4681881796535442,0.23244924,0.0051,0.005,0.0052,0.3582,0.3476,0.3688,R75_A75,R100_A100
36,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.18596798,0.0034999999999999,0.0034,0.0036,0.4638,0.4774,0.4502,R100_A100,R10_A10
37,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.08824268,0.0086,0.0092,0.008,0.625,0.6298,0.6202,R100_A100,R25_A25
38,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.0629206,0.0167,0.0178,0.0156,0.6647000000000001,0.6572,0.6722,R100_A100,R50_A50
39,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.05231152,0.0207,0.0248,0.0166,0.6757,0.6532,0.6982,R100_A100,R75_A75
40,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.2871467599999999,0.0034999999999999,0.0042,0.0028,0.3584,0.3398,0.377,R10_A10,R100_A100
41,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.14705504,0.007,0.0076,0.0064,0.5468,0.5014,0.5922,R25_A25,R100_A100
