,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_iLISI,ARI,AMI,graph_cLISI,isolated_labels_ASW,c5k_1,c5k_2
12,multigrate-louvain,Embedding,15000.0,0.8478723623656585,0.6820588405181324,0.1151822359547507,0.213190445943106,0.4028445812177796,0.9386767290138288,0.4977922801475,R100_A100,R50_A50
13,multivi-louvain,Embedding,15000.0,0.949353059221611,0.8455677386049271,0.7954868869430001,0.3888585693781596,0.5214671009308628,0.9589412915608851,0.519028939873628,R100_A100,R50_A50
14,scmomat-louvain,Embedding,15000.0,0.863282951908522,0.7130618507423077,0.3681588351290852,0.1339606880466357,0.2917655858670578,0.9063167260788202,0.4608754492162362,R100_A100,R50_A50
15,cobolt-louvain,Embedding,15000.0,0.9332347581652022,0.862473352292368,0.823341682420978,0.3580760995854639,0.5156474688735816,0.9596770058543136,0.5193932621699312,R100_A100,R75_A75
16,multigrate-louvain,Embedding,15000.0,0.8541357789918345,0.713976602999735,0.1037950067397869,0.2075697705206399,0.4129175824750062,0.9415475249483488,0.4963278421858811,R100_A100,R75_A75
17,multivi-louvain,Embedding,15000.0,0.9560131868877574,0.8560590115442663,0.7984345448330652,0.3746503935364382,0.5210503280920277,0.960053683962478,0.5163534406734549,R100_A100,R75_A75
18,scmomat-louvain,Embedding,15000.0,0.8747702494190011,0.7444572827884146,0.4463524002052527,0.1101874058875822,0.2919137240590708,0.911838703627148,0.4693388700303014,R100_A100,R75_A75
19,scmomat-louvain,Embedding,15000.0,0.9049311955629152,0.7572625727432762,0.5558854394948345,0.1482745464597193,0.3089566177491458,0.9209283094897408,0.4700341150771988,R100_A100,R100_A100
20,cobolt-louvain,Embedding,15000.0,0.8580922571101444,0.7230268774527424,0.3653561556284967,0.2087766871057239,0.3605230276727638,0.9208184195963592,0.4781545054688847,R10_A10,R100_A100
21,multigrate-louvain,Embedding,15000.0,0.7945790829138237,0.492555170743514,0.0039833547789742,0.0880709184541635,0.2150727147127473,0.8656974811432948,0.4698568173765164,R10_A10,R100_A100
22,multivi-louvain,Embedding,15000.0,0.9068898803542718,0.6870907288611413,0.6397158104201348,0.187888659288521,0.3432472893703477,0.920418865137686,0.4801221362962994,R10_A10,R100_A100
23,scmomat-louvain,Embedding,15000.0,0.8559579374086841,0.6434419027783683,0.4148293103866889,0.0920683746751703,0.2109665930177207,0.8723218698439184,0.4684600184074319,R10_A10,R100_A100
24,cobolt-louvain,Embedding,15000.0,0.9016602805514784,0.7958952033369081,0.619812608094561,0.2936452909705336,0.448180272702237,0.947651144681005,0.4917786336483676,R25_A25,R100_A100
25,multigrate-louvain,Embedding,15000.0,0.8656278939634072,0.6941715025809776,0.032397887088478,0.1333630546801135,0.3148104692180301,0.9069658269663748,0.4872634701314382,R25_A25,R100_A100
26,multivi-louvain,Embedding,15000.0,0.919776263676227,0.7752597179885334,0.7360959423187055,0.3094578741226693,0.4411299205294895,0.9444532517794648,0.4976426300886289,R25_A25,R100_A100
27,scmomat-louvain,Embedding,15000.0,0.8658634509662096,0.6890419519332699,0.4724439303969863,0.1048632679003965,0.2601257188046214,0.8990534517529206,0.4681714759410723,R25_A25,R100_A100
28,cobolt-louvain,Embedding,15000.0,0.9203703250264954,0.8390485469576852,0.7373412473000209,0.3734073014914602,0.5103271442602106,0.9565643597062088,0.514224097762844,R50_A50,R100_A100
29,multigrate-louvain,Embedding,15000.0,0.8791322646403285,0.6641936792568256,0.1300782943570382,0.2013555690046652,0.3859836416541976,0.9364658816279952,0.4921999063201087,R50_A50,R100_A100
30,multivi-louvain,Embedding,15000.0,0.9494399753055086,0.8104284925877276,0.8056501266403278,0.3646593730609827,0.4860399819157648,0.9523605530538554,0.5079890162653654,R50_A50,R100_A100
31,scmomat-louvain,Embedding,15000.0,0.8805051872960722,0.7407177572667735,0.4977317763968852,0.1432609321790468,0.303279201669354,0.9084679132524716,0.471113516361979,R50_A50,R100_A100
32,cobolt-louvain,Embedding,15000.0,0.9211578249660368,0.8742118716850433,0.8068843595643531,0.3501485926099605,0.5065016904995704,0.9629630591964154,0.5242588093058894,R75_A75,R100_A100
33,multigrate-louvain,Embedding,15000.0,0.8453149079164037,0.7352944881601415,0.0474931011671775,0.1671301089202388,0.4031937292432221,0.9408144212658897,0.4921918548491742,R75_A75,R100_A100
34,multivi-louvain,Embedding,15000.0,0.94525846948377,0.846902847174984,0.8113811126195238,0.3921927894724117,0.527106951038847,0.9584086843173718,0.5209704661645683,R75_A75,R100_A100
35,scmomat-louvain,Embedding,15000.0,0.9185009558017448,0.7656879835900965,0.498962384248983,0.1317204786034358,0.3020397800502054,0.9146971811194476,0.473257427250602,R75_A75,R100_A100
36,SeuratV5,Embedding,15000.0,0.5548845152380395,0.6476993739617593,0.2799100316114801,0.1990433975156682,0.3812270622258321,0.9463629225809682,0.4871476271857872,R100_A100,R10_A10
37,SeuratV5,Embedding,15000.0,0.5029890874448388,0.7410226539540817,0.1962601506503978,0.2491635098329351,0.4769605552815599,0.9709096253136106,0.5053660744173534,R100_A100,R25_A25
38,SeuratV5,Embedding,15000.0,0.4830816932170262,0.7563330369695646,0.1941272111300427,0.258677414991592,0.5245634154372685,0.9793753622167308,0.5202133406318076,R100_A100,R50_A50
39,SeuratV5,Embedding,15000.0,0.4858715491628441,0.7926171073447587,0.1958146977855897,0.2536291726172764,0.5319845733172511,0.9803672194035856,0.5261243282533858,R100_A100,R75_A75
40,SeuratV5,Embedding,15000.0,0.4620588481864242,0.7446709238159548,0.2043862980901342,0.2371875626562564,0.5319470495527774,0.981113687171813,0.5288087235277762,R100_A100,R100_A100
41,SeuratV5,Embedding,15000.0,0.5350391983542695,0.6490235301475921,0.2545359351998983,0.1288635164288051,0.2788874845119712,0.9252375812803644,0.4789515740045791,R10_A10,R100_A100
42,SeuratV5,Embedding,15000.0,0.5016394550080847,0.7797645121632021,0.2073651367530752,0.2085570730508342,0.4211051723982852,0.9637069486366177,0.5009328754208779,R25_A25,R100_A100
43,SeuratV5,Embedding,15000.0,0.4703594591637166,0.7933467198232765,0.1830350273672739,0.2374990504948775,0.4972543678426777,0.9772843920960664,0.5190296709972798,R50_A50,R100_A100
44,SeuratV5,Embedding,15000.0,0.4624618685221152,0.7984542566703815,0.1895845564930389,0.2551322851967509,0.5283003684560299,0.979087538038612,0.5251127434261751,R75_A75,R100_A100
45,StabMap,Embedding,15000.0,0.6942557919338679,0.1272709097054309,0.350329363169964,0.0139803178124485,0.0234210155388286,0.704321340858952,0.4226950105765591,R100_A100,R10_A10
46,StabMap,Embedding,15000.0,0.6953450210254417,0.1744599047744265,0.4226293549323321,0.0115686298022587,0.0220674003267231,0.7146648522481264,0.3749151978155841,R100_A100,R25_A25
47,StabMap,Embedding,15000.0,0.7021853885812105,0.3026681893759715,0.4322000708763605,0.0122765084728392,0.0503337380510014,0.7496096805650475,0.3889590419181015,R100_A100,R50_A50
48,StabMap,Embedding,15000.0,0.7899471405199148,0.4754320366708554,0.4976817624811975,0.0222632548372088,0.0828483494649542,0.7733495871943128,0.389772461646277,R100_A100,R75_A75
49,StabMap,Embedding,15000.0,0.7762387629661799,0.5240892791991946,0.5086588857869492,0.0390892901698736,0.1180333182427455,0.8032134388106364,0.4226308644789716,R100_A100,R100_A100
50,StabMap,Embedding,15000.0,0.7163454019278438,0.2996894270168879,0.6645705514126423,0.0101685991777919,0.0306324433121497,0.7386257885308872,0.4559274517232552,R10_A10,R100_A100
51,StabMap,Embedding,15000.0,0.8008386549808024,0.2968619921469792,0.5101801806298831,0.0135217522562477,0.0314778030615187,0.7176921620437912,0.4291615665829538,R25_A25,R100_A100
52,StabMap,Embedding,15000.0,0.7680099570087425,0.365605846910924,0.5135599347774142,0.0163079507049328,0.0457191452909613,0.7419268534093181,0.4172282905682273,R50_A50,R100_A100
53,StabMap,Embedding,15000.0,0.7685810518345212,0.5059855931115697,0.4993970327860664,0.0338531088398023,0.1020047836794223,0.7836264949063502,0.4162141178613123,R75_A75,R100_A100
