,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC,s1d1,s3d10
10,cobolt-louvain,Embedding,6781.0,,,0.9874952072981772,0.9905005281920278,1.0,,0.6277073091622508,0.5135921289224324,0.8114613373182763,0.7359154842140276,0.9893555643341092,0.9991711063374934,0.606135648506406,0.6252446058815654,,,0.9671428722030232,0.9615932783965808,1.0,,0.5207490312989718,0.5403833916223207,0.7317225339612895,0.7214481430340057,0.9727557469519812,0.9870242165076728,0.5543548663603607,0.5865858550075882,0.0550764679218443,0.0061200412918448,0.0056038932310868,0.0066361893526028,0.6962099985252912,0.7417784987464976,0.6506414983040849,0.8164724966819052,0.8517917711252028,0.7811532222386078,R50_A50,R100_A100
11,MIDAS-louvain,Embedding,6781.0,,,0.9952495474006045,0.9957033252414872,1.0,,0.6193452166776956,0.5292164251751185,0.7921828702827342,0.7344687354738426,0.987233103035656,0.9942202398286084,0.5752529244079142,0.5666135816834516,,,0.9567691982599962,0.9763334495236174,1.0,,0.4653575817116206,0.4076042735943201,0.6830525771756905,0.6471716476950091,0.9733376578330531,0.9851273992355324,0.543397161823459,0.5473569031410119,0.1010740059563792,0.0106179029641645,0.0107653738386668,0.0104704320896622,0.7701666420881876,0.7944256009438136,0.7459076832325615,0.8574693997935408,0.8733225188025365,0.8416162807845451,R50_A50,R100_A100
12,multigrate-louvain,Embedding,6781.0,,,0.9812379178942872,0.9833131292927376,1.0,,0.5786396137145587,0.4483376394875352,0.8098025394070323,0.7201906231826696,0.9962191576328238,0.999797772586426,0.6561645357212053,0.672713947231435,,,0.8931717634580174,0.941528315190184,1.0,,0.4690500057093507,0.4635214877031042,0.6362130943065097,0.6218223756700638,0.9660184940583384,0.9777277243990864,0.5223914008638582,0.5774591396077258,0.2317661267208677,0.0012535024332694,0.001032296121516,0.0014747087450228,0.3117534286978322,0.2888954431499779,0.3346114142456864,0.4671877304232414,0.4642383129331957,0.4701371479132871,R50_A50,R100_A100
13,multivi-louvain,Embedding,6781.0,,,0.9894561366484416,0.9865829772057476,1.0,,0.6680749375619957,0.5096108697536835,0.8374212400034982,0.7429334050523287,0.9950708599551488,0.9994377349367464,0.6428709745666209,0.6277863221125561,,,0.976758225418926,0.97406803552569,1.0,,0.5754982614638394,0.4948864760303311,0.761572358869575,0.7085782359935178,0.9830379279383716,0.9946351387283964,0.5946326206278053,0.6037017137267857,0.0495949378931446,0.0081108980976257,0.0091431942191417,0.0070786019761097,0.7747382391977584,0.8159563486211473,0.7335201297743695,0.8770092906650937,0.902964164577496,0.8510544167526913,R50_A50,R100_A100
14,scmomat-louvain,Embedding,6781.0,,,0.97640751685602,0.9918608176967588,1.0,,0.5573675956235856,0.4728926830552623,0.7716988694114774,0.704925326413149,0.9868614098436284,0.996164908293293,0.5608241762896065,0.5655161129466676,,,0.9155196869855748,0.94017255144308,1.0,,0.3786607654491363,0.3349955957709926,0.5841348357088659,0.5527892671827253,0.9631476280328136,0.9736921963908808,0.5261491239732804,0.5531379597370051,0.3450590221674103,0.0009585606842648,0.0007373543725114,0.0011797669960182,0.2288010617902964,0.2511428992773927,0.2064592243032001,0.3761244654180799,0.3925674679250848,0.359681462911075,R50_A50,R100_A100
15,cobolt-louvain,Embedding,6781.0,,,0.9857189125634388,0.990661879464735,1.0,,0.531767265285406,0.4465405679620561,0.7842106266509361,0.7111243120618658,0.9891174826526304,0.9990214760375496,0.607701354676991,0.6309470846108097,,,0.9636662800981596,0.9725781116025852,1.0,,0.4815641137700849,0.4718832659540819,0.737712487712161,0.7108122577258881,0.9751878120764929,0.9940067669032282,0.5671577196716029,0.603537663407468,0.0521232880868217,0.0071523374133608,0.0067836602271051,0.0075210145996165,0.726515263235511,0.7602123580592833,0.6928181684117387,0.8444919628373396,0.8646217372069016,0.8243621884677776,R75_A75,R100_A100
16,MIDAS-louvain,Embedding,6781.0,,,0.9927799505037586,0.9941332451482991,1.0,,0.6459354322422824,0.5438933632977577,0.8029639601421704,0.7407516446300828,0.9901279956035272,0.9947736832902612,0.5755589688270651,0.5691130504196554,,,0.9633847441631116,0.9759065636940674,1.0,,0.4285697251051231,0.348629622520215,0.6650541082077626,0.6145937370462897,0.9726157887703136,0.9847176468913004,0.5494292095651396,0.5464383752763234,0.0938533047774974,0.0130511723934522,0.0137147913287125,0.012387553458192,0.7838076979796491,0.8094676301430468,0.7581477658162513,0.8654328270166642,0.879811237280637,0.8510544167526913,R75_A75,R100_A100
17,multigrate-louvain,Embedding,6781.0,,,0.9755692262013808,0.9807915985319896,1.0,,0.5924862544591439,0.4580732148677495,0.8161924447351553,0.7250506342993316,0.996415568714695,0.9997485609146176,0.6773320271954734,0.677120408792636,,,0.9053559564943354,0.925512637290138,1.0,,0.4503814507558923,0.4353561653513492,0.6413964896984308,0.6316247929115814,0.964800751346003,0.9835274389209816,0.524046863347941,0.5846230505983318,0.1267791515024772,0.0018433859312785,0.0017696504940274,0.0019171213685297,0.4909305412181094,0.4950597257041734,0.4868013567320454,0.7257041734257483,0.796195251437841,0.6552130954136558,R75_A75,R100_A100
18,multivi-louvain,Embedding,6781.0,,,0.9926076599568204,0.9946371431443752,1.0,,0.6491999431180778,0.5586223784595813,0.8323726455926003,0.7670469072323907,0.9942902145414432,0.9988826622236212,0.6353135885801974,0.6132504889430602,,,0.9765510162139626,0.9792521353402036,1.0,,0.6112141052198212,0.4978018438758268,0.7802362503391091,0.707147394160773,0.9857238921522664,0.9901736978808188,0.6006415097666108,0.591655278395706,0.0435813296435965,0.0098805485916531,0.0100280194661554,0.0097330777171508,0.8184633534876862,0.8329154991889102,0.8040112077864622,0.8826869193334317,0.8936734994838519,0.8717003391830114,R75_A75,R100_A100
19,scmomat-louvain,Embedding,6781.0,,,0.9793177192822474,0.9900692667669488,1.0,,0.5014003617552032,0.4216042047611719,0.737147144673724,0.6819880091013969,0.9857044129411489,0.9964841744325592,0.5747103383845742,0.5829905527577333,,,0.9274623071442876,0.9676869722163568,1.0,,0.366387832513342,0.3582089976535886,0.6102476756100838,0.5881408362351145,0.963393349080307,0.9748783601958516,0.5171854083190319,0.5566328767053722,0.2542101673306191,0.0016959150567762,0.0011797669960182,0.0022120631175342,0.4475003686771862,0.4371036720247751,0.4578970653295974,0.6291844860640023,0.6205574399056186,0.6378115322223861,R75_A75,R100_A100
