,method,Output,nCell,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ADT,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ADT,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ADT
10,scmomat-louvain,Embedding,10465.0,0.2408419848291885,0.0017677974199713,0.0010511227902532,0.0024844720496894,0.4269469660774009,0.3240324892498805,0.5298614429049212,0.6144768275203057,0.4710941232680363,0.7578595317725753
11,scmomat-louvain,Embedding,10465.0,0.2408419848291885,0.0017677974199713,0.0010511227902532,0.0024844720496894,0.4269469660774009,0.3240324892498805,0.5298614429049212,0.6144768275203057,0.4710941232680363,0.7578595317725753
12,scmomat-louvain,Embedding,10465.0,0.2408419848291885,0.0017677974199713,0.0010511227902532,0.0024844720496894,0.4269469660774009,0.3240324892498805,0.5298614429049212,0.6144768275203057,0.4710941232680363,0.7578595317725753
13,scmomat-louvain,Embedding,10465.0,0.2408419848291885,0.0017677974199713,0.0010511227902532,0.0024844720496894,0.4269469660774009,0.3240324892498805,0.5298614429049212,0.6144768275203057,0.4710941232680363,0.7578595317725753
14,scmomat-louvain,Embedding,10465.0,0.2408419848291885,0.0017677974199713,0.0010511227902532,0.0024844720496894,0.4269469660774009,0.3240324892498805,0.5298614429049212,0.6144768275203057,0.4710941232680363,0.7578595317725753
15,scVAEIT-louvain,Embedding,10465.0,0.1469110809836624,0.0008122312470138,0.0010511227902532,0.0005733397037744,0.4769230769230769,0.4972766364070712,0.4565695174390826,0.7330148112756809,0.8243669374104157,0.641662685140946
16,scVAEIT-louvain,Embedding,10465.0,0.1632840932930257,0.0006211180124223,0.0009555661729574,0.0002866698518872,0.396225513616818,0.4673674151935021,0.3250836120401338,0.6766841853798375,0.7101767797419971,0.643191591017678
17,scVAEIT-louvain,Embedding,10465.0,0.1493995935305476,0.0006211180124223,0.0009555661729574,0.0002866698518872,0.3235547061634018,0.4504538939321548,0.1966555183946488,0.65685618729097,0.6608695652173913,0.6528428093645485
18,scVAEIT-louvain,Embedding,10465.0,0.1473884531721213,0.001098901098901,0.0014333492594362,0.0007644529383659,0.4237458193979933,0.5285236502627807,0.3189679885332059,0.7428571428571429,0.8262780697563307,0.6594362159579551
19,scVAEIT-louvain,Embedding,10465.0,0.1665601192882607,0.0005733397037744,0.0004777830864787,0.0006688963210702,0.4432871476349737,0.4552317247969422,0.4313425704730053,0.6677018633540373,0.6359292881032012,0.6994744386048733
20,StabMap-louvain,Embedding,10465.0,0.0622632765145073,0.0055900621118012,0.0061156235069278,0.0050645007166746,0.7178690874343048,0.724223602484472,0.7115145723841376,0.9321548017200192,0.9334925943621596,0.9308170090778788
21,StabMap-louvain,Embedding,10465.0,0.0622632765145073,0.0055900621118012,0.0061156235069278,0.0050645007166746,0.7178690874343048,0.724223602484472,0.7115145723841376,0.9321548017200192,0.9334925943621596,0.9308170090778788
22,StabMap-louvain,Embedding,10465.0,0.0622632765145073,0.0055900621118012,0.0061156235069278,0.0050645007166746,0.7178690874343048,0.724223602484472,0.7115145723841376,0.9321548017200192,0.9334925943621596,0.9308170090778788
23,StabMap-louvain,Embedding,10465.0,0.0622632765145073,0.0055900621118012,0.0061156235069278,0.0050645007166746,0.7178690874343048,0.724223602484472,0.7115145723841376,0.9321548017200192,0.9334925943621596,0.9308170090778788
24,StabMap-louvain,Embedding,10465.0,0.0622632765145073,0.0055900621118012,0.0061156235069278,0.0050645007166746,0.7178690874343048,0.724223602484472,0.7115145723841376,0.9321548017200192,0.9334925943621596,0.9308170090778788
25,SeuratV5,Embedding,20930.0,0.0539774403290471,0.0050167224080267,0.0061156235069278,0.0039178213091256,0.7281414237935977,0.7118012422360248,0.7444816053511706,0.9270425226946966,0.915910176779742,0.9381748686096512
26,SeuratV5,Embedding,20930.0,0.0539774403290471,0.0050167224080267,0.0061156235069278,0.0039178213091256,0.7281414237935977,0.7118012422360248,0.7444816053511706,0.9270425226946966,0.915910176779742,0.9381748686096512
27,SeuratV5,Embedding,20930.0,0.0539774403290471,0.0050167224080267,0.0061156235069278,0.0039178213091256,0.7281414237935977,0.7118012422360248,0.7444816053511706,0.9270425226946966,0.915910176779742,0.9381748686096512
28,SeuratV5,Embedding,20930.0,0.0539774403290471,0.0050167224080267,0.0061156235069278,0.0039178213091256,0.7281414237935977,0.7118012422360248,0.7444816053511706,0.9270425226946966,0.915910176779742,0.9381748686096512
29,SeuratV5,Embedding,20930.0,0.0539774403290471,0.0050167224080267,0.0061156235069278,0.0039178213091256,0.7281414237935977,0.7118012422360248,0.7444816053511706,0.9270425226946966,0.915910176779742,0.9381748686096512
