,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC
10,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
11,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
12,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
13,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
14,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
15,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
16,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
17,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
18,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
19,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
