,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC,RNA,ATAC
28,bindSC-louvain,Embedding,6924.0,0.8500443811078683,0.9115511024974426,0.3814210869413943,0.7249509308734852,0.8423902700165922,1.0,0.4360226281166923,0.3841690903578266,0.4269357638931145,0.5330589204116561,0.5478253895471474,0.9382980696813082,0.9203180670758953,0.3784454501096005,0.4231322278616632,0.7803265624488864,0.8832527428698651,0.3181876108921667,0.8131019586745457,0.9106173758248812,1.0,0.3985074248717124,0.3355364082687209,0.3622369911306763,0.573918433038993,0.5814598875559688,0.9600170828632184,0.967719260366751,0.559507003582341,0.5724852171311288,0.1363370747883849,0.0008665511265164,0.0011554015020219,0.0005777007510109,0.4368861929520508,0.4279318313113807,0.445840554592721,0.6434142114384749,0.6321490467937608,0.6546793760831889,R100,A25
29,scglue-louvain,Embedding,6924.0,0.8939595943440418,0.9125128569402902,0.6113233935080413,0.9589453625970378,0.9706467887114246,1.0,0.2801130360412255,0.6219549585783776,0.5426048767419063,0.7450911277080439,0.6942109420511399,0.9818078662231332,0.9830570531742155,0.535950385595612,0.5133052471242695,0.88739781757118,0.9211816481970372,0.537518388729854,0.9381263098400608,0.955236342859728,1.0,0.3677470389633239,0.6623235960785435,0.6092772776413492,0.7304618790300863,0.7071571447471091,0.9755128224653766,0.9801783346930592,0.420556137281006,0.5039707028941921,0.0465602797026126,0.013792605430387,0.0144425187752744,0.0131426920854997,0.7323801270941652,0.7429231658001155,0.7218370883882149,0.8508809936452917,0.8548526863084922,0.8469093009820913,R100,A25
30,LIGER_INMF-louvain,Embedding,6924.0,0.8137374126029501,0.8853485942579695,0.5075475955247244,0.9412358894357732,0.9654545262730304,1.0,0.2996278971786858,0.4673220180266091,0.4579337927195293,0.6976027161244207,0.6638308646285958,0.9802949297154804,0.9842703142702968,0.5640697887856145,0.5319846589369447,0.8575964117488948,0.8442112292602971,0.5739949127951591,0.8085088834481873,0.884325554775408,1.0,0.4247301610685588,0.4422207509520997,0.55375038946547,0.5544680445610396,0.5907935504665404,0.9373480629534408,0.917081947132073,0.4484468495669074,0.4596708821402556,0.2563223148011871,0.0007221259387637,0.0010109763142692,0.0004332755632582,0.3024985557481224,0.4170999422299249,0.18789716926632,0.4217215482380127,0.5171865973425765,0.3262564991334489,R100,A25
31,LIGER_OINMF-louvain,Embedding,6924.0,0.8340877005323741,0.8782073897914274,0.5855471798323342,0.9101143428971676,0.9102712586363468,1.0,0.3527788126064801,0.4287034062679671,0.4214946507509601,0.6371857336344263,0.6187658460468097,0.9610864140428238,0.9538790946610848,0.482009248574667,0.5132990434355931,0.8634596158790069,0.9119638974116172,0.5926762297746077,0.7089133109171352,0.8473358791088659,1.0,0.4776873498939905,0.3101727897464667,0.4356639435100766,0.4091990139395443,0.4565342260820794,0.8947956056566445,0.8348445763994098,0.4563503792686544,0.4426539826920158,0.3099779407421202,0.0005777007510109,0.0008665511265164,0.0002888503755054,0.3398324667822068,0.4386192952050837,0.2410456383593298,0.4958116695551704,0.5893991912189486,0.4022241478913922,R100,A25
32,LIGER_UINMF-louvain,Embedding,6924.0,0.8265563768518112,0.8731750982055658,0.5557333743508015,0.941330367160593,0.9674575071930628,1.0,0.3419935860322507,0.5524787352266459,0.4905949602876202,0.7102675407892092,0.6711986961748481,0.9829936195432794,0.9823198537148514,0.5277419762576679,0.5014926352096906,0.8057738792386747,0.8476938068106789,0.5540862776987399,0.8043339656817126,0.8859218502454819,1.0,0.4175126244069305,0.4390125633416005,0.5621764918000007,0.5487395066596062,0.6005744945730892,0.9323796976352754,0.9191866641483863,0.4245180995127043,0.4628332577540659,0.3525640664626192,0.0006499133448873,0.0005777007510109,0.0007221259387637,0.1834199884459849,0.2329578278451761,0.1338821490467937,0.3539861351819757,0.3809936452917389,0.3269786250722126,R100,A25
33,MaxFuse-louvain,Embedding,6924.0,0.8889696756109059,0.9417538288547016,0.6673042403873859,0.9303601120976784,0.9469048684148688,1.0,0.42216688064612,0.5471427048089296,0.6292210647039844,0.6789035833614914,0.6903764726027838,0.9453646514678544,0.9231262650945462,0.5995382858415996,0.5334935258283671,0.7905524594759328,0.85979280310848,0.737838095511218,0.9313728448012384,0.9672030373650992,1.0,0.3376315846617856,0.4718715150758296,0.5391650577540522,0.6268999021083091,0.635338651892729,0.9600410323239956,0.965649543757416,0.5464967543899166,0.6394465219935104,0.2214516312453672,0.0024552281917966,0.0023108030040439,0.0025996533795493,0.5789283651068746,0.6114962449451185,0.5463604852686309,0.7466782206816869,0.78105141536684,0.7123050259965338,R100,A25
34,MultiMAP-louvain,Embedding,6924.0,0.6562076033573376,0.8041532370339998,0.2367473775146788,0.7430242821872579,0.8043258919712396,1.0,0.307099540765978,0.2366613448108395,0.2266389455712339,0.5645023580412614,0.5494597819413645,0.9663378319237446,0.9703162718481632,0.4986364623506225,0.5222322355732392,0.7089539711525265,0.8629480938375292,0.1398895081506365,0.6595727557069094,0.7580502581706922,1.0,0.4239443168058174,0.2191800315392523,0.2184008142402461,0.5001596071716001,0.4935106987456332,0.9528977274013845,0.9555330044730146,0.4255102807562861,0.5202632206239403,0.1670168935752401,0.001949740034662,0.0015886770652801,0.0023108030040439,0.5298238012709416,0.5576256499133448,0.5020219526285384,0.7167822068168689,0.7531773541305604,0.6803870595031773,R100,A25
35,pamona-louvain,Embedding,6924.0,0.6904043143603049,0.8735320902099389,0.1447279529872137,0.266532400137809,0.4881353097248333,1.0,0.4585377615975889,0.0569426375051383,0.0525327108487232,0.1942992022082964,0.1801955109649639,0.8291649395818033,0.7202995478201759,0.4725500357266563,0.4744958566708206,0.6074875429582153,0.8422074129780103,0.0414109309988082,0.0606299759182337,0.0794381306897825,1.0,0.569076131759927,0.0046223631612402,0.0041005364390531,0.0294816044642963,0.0217037015470296,0.688332062333095,0.4535091554954963,0.4722082034066002,0.5214649332100512,0.5028574035304825,0.0,0.0,0.0,0.1026140958983246,0.0989312536106297,0.1062969381860196,0.1520797227036395,0.1513575967648757,0.1528018486424032,R100,A25
36,SCALEX-louvain,Embedding,6924.0,0.8898448932911893,0.9145323849261432,0.6176924406682038,0.941791550600329,0.9397946743035226,1.0,0.3309454820953969,0.5222985602590196,0.5588323745870795,0.6834474000392914,0.6639767302227993,0.9674487678128708,0.9658771633143506,0.6100203719677887,0.5273793728513417,0.9104603691967774,0.9549331291433808,0.562849498679297,0.770341587506677,0.8564809782737492,1.0,0.4685257596220003,0.3338745295524243,0.4575530991389392,0.4803457310143799,0.5321486902068063,0.9160993589679434,0.876398167090316,0.5223668670286624,0.5191202972306562,0.1526940303588252,0.0020941652224147,0.0017331022530329,0.0024552281917966,0.5169699595609475,0.58578856152513,0.4481513575967649,0.6881860196418255,0.748844598497978,0.627527440785673,R100,A25
37,SeuratV3_CCA-louvain,Embedding,6924.0,0.9184229657872652,0.882823338566755,0.7901084233108819,0.9593381585450488,0.9647383139506212,1.0,0.1849215247156798,0.471382502849362,0.4630403900934461,0.6517317347647131,0.6398644043504546,0.966427055138246,0.97112567116452,0.5951458180558632,0.528881657912627,0.7654107296506625,0.8624814626548288,0.2914774755912597,0.8246297186027121,0.9068004466833854,1.0,0.3439782232929344,0.4018594784601506,0.3712686991153459,0.6294262865371408,0.6111252535344825,0.9695870359495308,0.9779327140814198,0.3257088773916552,0.5156764321796394,0.0956825733781743,0.0031773541305603,0.003899480069324,0.0024552281917966,0.6073801270941652,0.5883882149046794,0.626372039283651,0.769786250722126,0.7423454650491046,0.7972270363951474,R100,A25
